STUDY,respondent,RESPONDENT,GENDER,AGE,GROUP,VALUE_FAM_01_Question (2),ASSIGNED_KEY_FAM_01_Question (2),TIMING_FAM_01_Question (2),VALUE_FAM_02_Question (2),ASSIGNED_KEY_FAM_02_Question (2),TIMING_FAM_02_Question (2),VALUE_FAM_07_Question (2),ASSIGNED_KEY_FAM_07_Question (2),TIMING_FAM_07_Question (2),VALUE_FAM_04_Question (2),ASSIGNED_KEY_FAM_04_Question (2),TIMING_FAM_04_Question (2),VALUE_FAM_03_Question (2),ASSIGNED_KEY_FAM_03_Question (2),TIMING_FAM_03_Question (2),VALUE_FAM_06_Question (2),ASSIGNED_KEY_FAM_06_Question (2),TIMING_FAM_06_Question (2),VALUE_FAM_05_Question (2),ASSIGNED_KEY_FAM_05_Question (2),TIMING_FAM_05_Question (2),VALUE_FAM_08_Question (2),ASSIGNED_KEY_FAM_08_Question (2),TIMING_FAM_08_Question (2),VALUE_FAM_09_Question (2),ASSIGNED_KEY_FAM_09_Question (2),TIMING_FAM_09_Question (2),VALUE_FAM_10_Question (2),ASSIGNED_KEY_FAM_10_Question (2),TIMING_FAM_10_Question (2),VALUE_FAM_11_Question (2),ASSIGNED_KEY_FAM_11_Question (2),TIMING_FAM_11_Question (2),VALUE_FAM_12_Question (2),ASSIGNED_KEY_FAM_12_Question (2),TIMING_FAM_12_Question (2),VALUE_FAM_18_Question (2),ASSIGNED_KEY_FAM_18_Question (2),TIMING_FAM_18_Question (2),VALUE_FAM_13_Question (2),ASSIGNED_KEY_FAM_13_Question (2),TIMING_FAM_13_Question (2),VALUE_FAM_14_Question (2),ASSIGNED_KEY_FAM_14_Question (2),TIMING_FAM_14_Question (2),VALUE_FAM_15_Question (2),ASSIGNED_KEY_FAM_15_Question (2),TIMING_FAM_15_Question (2),VALUE_FAM_30_Question (2),ASSIGNED_KEY_FAM_30_Question (2),TIMING_FAM_30_Question (2),VALUE_FAM_16_Question (2),ASSIGNED_KEY_FAM_16_Question (2),TIMING_FAM_16_Question (2),VALUE_FAM_17_Question (2),ASSIGNED_KEY_FAM_17_Question (2),TIMING_FAM_17_Question (2),VALUE_FAM_19_Question (2),ASSIGNED_KEY_FAM_19_Question (2),TIMING_FAM_19_Question (2),VALUE_FAM_20_Question (2),ASSIGNED_KEY_FAM_20_Question (2),TIMING_FAM_20_Question (2),VALUE_FAM_22_Question (2),ASSIGNED_KEY_FAM_22_Question (2),TIMING_FAM_22_Question (2),VALUE_FAM_21_Question (2),ASSIGNED_KEY_FAM_21_Question (2),TIMING_FAM_21_Question (2),VALUE_FAM_28_Question (2),ASSIGNED_KEY_FAM_28_Question (2),TIMING_FAM_28_Question (2),VALUE_FAM_23_Question (2),ASSIGNED_KEY_FAM_23_Question (2),TIMING_FAM_23_Question (2),VALUE_FAM_24_Question (2),ASSIGNED_KEY_FAM_24_Question (2),TIMING_FAM_24_Question (2),VALUE_FAM_25_Question (2),ASSIGNED_KEY_FAM_25_Question (2),TIMING_FAM_25_Question (2),VALUE_FAM_26_Question (2),ASSIGNED_KEY_FAM_26_Question (2),TIMING_FAM_26_Question (2),VALUE_FAM_27_Question (2),ASSIGNED_KEY_FAM_27_Question (2),TIMING_FAM_27_Question (2),VALUE_FAM_41_Question (2),ASSIGNED_KEY_FAM_41_Question (2),TIMING_FAM_41_Question (2),VALUE_FAM_32_Question (2),ASSIGNED_KEY_FAM_32_Question (2),TIMING_FAM_32_Question (2),VALUE_FAM_29_Question (2),ASSIGNED_KEY_FAM_29_Question (2),TIMING_FAM_29_Question (2),VALUE_FAM_39_Question (2),ASSIGNED_KEY_FAM_39_Question (2),TIMING_FAM_39_Question (2),VALUE_FAM_35_Question (2),ASSIGNED_KEY_FAM_35_Question (2),TIMING_FAM_35_Question (2),VALUE_FAM_36_Question (2),ASSIGNED_KEY_FAM_36_Question (2),TIMING_FAM_36_Question (2),VALUE_FAM_31_Question (2),ASSIGNED_KEY_FAM_31_Question (2),TIMING_FAM_31_Question (2),VALUE_FAM_33_Question (2),ASSIGNED_KEY_FAM_33_Question (2),TIMING_FAM_33_Question (2),VALUE_FAM_38_Question (2),ASSIGNED_KEY_FAM_38_Question (2),TIMING_FAM_38_Question (2),VALUE_FAM_37_Question (2),ASSIGNED_KEY_FAM_37_Question (2),TIMING_FAM_37_Question (2),VALUE_FAM_34_Question (2),ASSIGNED_KEY_FAM_34_Question (2),TIMING_FAM_34_Question (2),VALUE_FAM_40_Question (2),ASSIGNED_KEY_FAM_40_Question (2),TIMING_FAM_40_Question (2),VALUE_FAM_42_Question (2),ASSIGNED_KEY_FAM_42_Question (2),TIMING_FAM_42_Question (2),VALUE_FAM_43_Question (2),ASSIGNED_KEY_FAM_43_Question (2),TIMING_FAM_43_Question (2),VALUE_FAM_44_Question (2),ASSIGNED_KEY_FAM_44_Question (2),TIMING_FAM_44_Question (2),VALUE_FAM_47_Question (2),ASSIGNED_KEY_FAM_47_Question (2),TIMING_FAM_47_Question (2),VALUE_FAM_46_Question (2),ASSIGNED_KEY_FAM_46_Question (2),TIMING_FAM_46_Question (2),VALUE_FAM_45_Question (2),ASSIGNED_KEY_FAM_45_Question (2),TIMING_FAM_45_Question (2),VALUE_FAM_48_Question (2),ASSIGNED_KEY_FAM_48_Question (2),TIMING_FAM_48_Question (2),VALUE_FAM_49_Question (2),ASSIGNED_KEY_FAM_49_Question (2),TIMING_FAM_49_Question (2),VALUE_FAM_52_Question (2),ASSIGNED_KEY_FAM_52_Question (2),TIMING_FAM_52_Question (2),VALUE_FAM_50_Question (2),ASSIGNED_KEY_FAM_50_Question (2),TIMING_FAM_50_Question (2),VALUE_FAM_51_Question (2),ASSIGNED_KEY_FAM_51_Question (2),TIMING_FAM_51_Question (2),VALUE_FAM_53_Question (2),ASSIGNED_KEY_FAM_53_Question (2),TIMING_FAM_53_Question (2),VALUE_FAM_54_Question (2),ASSIGNED_KEY_FAM_54_Question (2),TIMING_FAM_54_Question (2),VALUE_FAM_55_Question (2),ASSIGNED_KEY_FAM_55_Question (2),TIMING_FAM_55_Question (2),VALUE_FAM_56_Question (2),ASSIGNED_KEY_FAM_56_Question (2),TIMING_FAM_56_Question (2),VALUE_FAM_57_Question (2),ASSIGNED_KEY_FAM_57_Question (2),TIMING_FAM_57_Question (2),VALUE_FAM_58_Question (2),ASSIGNED_KEY_FAM_58_Question (2),TIMING_FAM_58_Question (2),VALUE_FAM_59_Question (2),ASSIGNED_KEY_FAM_59_Question (2),TIMING_FAM_59_Question (2),VALUE_FAM_60_Question (2),ASSIGNED_KEY_FAM_60_Question (2),TIMING_FAM_60_Question (2),VALUE_FAM_62_Question (2),ASSIGNED_KEY_FAM_62_Question (2),TIMING_FAM_62_Question (2),VALUE_FAM_61_Question (2),ASSIGNED_KEY_FAM_61_Question (2),TIMING_FAM_61_Question (2),VALUE_FAM_63_Question (2),ASSIGNED_KEY_FAM_63_Question (2),TIMING_FAM_63_Question (2),VALUE_FAM_65_Question (2),ASSIGNED_KEY_FAM_65_Question (2),TIMING_FAM_65_Question (2),VALUE_FAM_64_Question (2),ASSIGNED_KEY_FAM_64_Question (2),TIMING_FAM_64_Question (2),VALUE_FAM_66_Question (2),ASSIGNED_KEY_FAM_66_Question (2),TIMING_FAM_66_Question (2),VALUE_FAM_67_Question (2),ASSIGNED_KEY_FAM_67_Question (2),TIMING_FAM_67_Question (2),VALUE_FAM_68_Question (2),ASSIGNED_KEY_FAM_68_Question (2),TIMING_FAM_68_Question (2),VALUE_FAM_69_Question (2),ASSIGNED_KEY_FAM_69_Question (2),TIMING_FAM_69_Question (2),VALUE_FAM_70_Question (2),ASSIGNED_KEY_FAM_70_Question (2),TIMING_FAM_70_Question (2),VALUE_FAM_71_Question (2),ASSIGNED_KEY_FAM_71_Question (2),TIMING_FAM_71_Question (2)
Nandos_Menu_Task5 (1),4,Resp_010,FEMALE,33,Default,0,Left,1586.2705,0,Left,2425.9387,0,Left,1254.4111,0,Left,2452.0862,0,Left,2009.2257,0,Left,1056.4776,0,Left,1304.4983,0,Left,2772.7085,0,Left,1580.0246,0,Left,3224.5918,1,Right,2117.5736,1,Right,3290.1645,0,Left,923.4611,0,Left,2454.1609,0,Left,2012.0448,0,Left,1279.246,1,Right,1183.4422,0,Left,1118.8556,0,Left,3751.4047,0,Left,2882.5011,1,Right,2145.7628,0,Left,1126.0161,0,Left,1912.2731,0,Left,1260.4372,0,Left,1774.2598,0,Left,4411.604,0,Left,2634.4148,0,Left,3461.3431,0,Left,1830.8137,1,Right,1829.8536,0,Left,856.8778,0,Left,1199.3342,0,Left,2055.5655,0,Left,1388.5562,1,Right,3749.5146,0,Left,3481.7212,0,Left,988.6433,1,Right,7264.0413,0,Left,1191.0312,0,Left,1007.2364,0,Left,929.7462,0,Left,3479.8987,0,Left,1302.3871,1,Right,2734.9523,0,Left,1697.9559,1,Right,3063.1468,0,Left,1453.3662,0,Left,1731.1184,0,Left,1666.1668,1,Right,1966.7529,1,Right,3512.7603,0,Left,1480.6926,0,Left,1136.9476,1,Right,1931.8445,0,Left,4955.4831,0,Left,1354.9835,0,Left,1891.3049,0,Left,1254.861,0,Left,2027.3018,0,Left,1615.3227,0,Left,4399.9647,0,Left,1437.018,0,Left,2427.8282,0,Left,2589.4107,1,Right,1572.2072,0,Left,2063.7075,1,Right,2311.1362,0,Left,1762.417,1,Right,2770.384,1,Right,1371.3547,1,Right,3164.3222
Nandos_Menu_Task5 (1),6,Resp_007,MALE,31,Default,0,Left,2068.989,0,Left,2755.4226,0,Left,2802.6012,0,Left,2582.3683,1,Right,5541.5967,0,Left,2305.5838,0,Left,3959.0659,1,Right,3977.4084,1,Right,3146.9379,0,Left,1961.2768,1,Right,3757.8021,1,Right,7919.1171,1,Right,2780.6837,1,Right,4973.4275,0,Left,3319.5513,0,Left,2724.568,1,Right,3478.5356,1,Right,4785.4553,1,Right,4763.3173,0,Left,2171.1569,1,Right,3320.6511,0,Left,2785.8586,0,Left,3206.194,0,Left,2233.6181,0,Left,2149.1426,0,Left,3179.6138,0,Left,3089.7486,0,Left,2166.9569,1,Right,6742.5815,1,Right,4863.646,0,Left,2057.0285,0,Left,4173.8502,0,Left,2884.1666,1,Right,2152.4755,1,Right,4003.2256,0,Left,4009.5804,1,Right,2124.5353,1,Right,8933.3915,0,Left,2288.9452,1,Right,3347.9387,1,Right,2378.0389,1,Right,6137.5704,0,Left,4610.0141,0,Left,3465.7684,1,Right,4297.0568,0,Left,2348.8441,0,Left,2103.2336,1,Right,2963.6879,0,Left,4380.3806,1,Right,2951.7511,0,Left,4930.0302,0,Left,2177.0421,1,Right,6090.3749,1,Right,3519.5323,0,Left,3598.0677,0,Left,2696.077,1,Right,4629.713,1,Right,3921.3608,0,Left,1813.278,0,Left,1872.4921,1,Right,2769.2111,0,Left,3404.8582,1,Right,3095.1473,0,Left,5303.0369,1,Right,2617.4179,0,Left,2668.0898,1,Right,4426.3726,1,Right,4476.904,1,Right,2392.2018,0,Left,3208.3572,1,Right,3372.4172
Nandos_Menu_Task5 (1),21,Resp_036,MALE,30,Default,0,Left,2241.0658,0,Left,1714.3404,0,Left,5624.3374,0,Left,5468.7137,1,Right,4470.5712,0,Left,1678.4184,0,Left,2673.1578,1,Right,3389.4436,1,Right,2782.5003,0,Left,1955.049,1,Right,1819.6554,0,Left,3967.9303,1,Right,3625.6933,1,Right,4161.8372,0,Left,8075.5685,1,Right,4877.952,0,Left,3920.7733,0,Left,4265.6361,1,Right,4116.1784,0,Left,2822.334,1,Right,9258.442,0,Left,2289.6678,1,Right,2343.6533,0,Left,3445.5631,0,Left,2399.3764,0,Left,3197.4406,0,Left,2584.2113,0,Left,1743.2946,1,Right,3942.456,0,Left,1667.8343,1,Right,2347.6311,0,Left,5169.2961,0,Left,2241.5762,1,Right,2562.8662,0,Left,4187.5397,1,Right,1948.4119,1,Right,3527.2762,0,Left,1798.6619,0,Left,2638.0042,1,Right,3168.5798,1,Right,2053.265,1,Right,5427.8938,0,Left,3658.5513,0,Left,3554.4449,1,Right,3073.7095,1,Right,4016.1765,1,Right,2342.2602,0,Left,3558.9402,0,Left,6666.4845,0,Left,3319.3683,1,Right,11123.1059,0,Left,2777.0585,1,Right,2821.7938,1,Right,3200.7795,1,Right,2621.3973,1,Right,2900.8882,1,Right,7667.1305,1,Right,4161.9162,0,Left,2475.6769,0,Left,2271.2421,0,Left,4151.6987,0,Left,2855.2747,0,Left,2414.8518,1,Right,9268.5321,0,Left,2218.1705,1,Right,6277.4131,1,Right,1741.1646,1,Right,2243.0905,0,Left,4052.1552,1,Right,2665.5278,0,Left,3688.3793
Nandos_Menu_Task5 (1),23,Resp_038,MALE,22,Default,0,Left,1907.0137,0,Left,1559.5249,1,Right,2199.9166,1,Right,2707.4308,1,Right,3358.8761,0,Left,1460.7206,0,Left,1793.9663,0,Left,1566.4287,1,Right,1494.1451,0,Left,211.5308,1,Right,1272.2603,0,Left,1596.2447,1,Right,2103.2529,0,Left,3010.4388,1,Right,1587.4576,1,Right,1507.7461,0,Left,1322.6759,0,Left,1996.5278,0,Left,1582.5537,0,Left,1636.3496,1,Right,2762.0144,0,Left,1293.9024,0,Left,2467.4535,0,Left,1200.2184,0,Left,1355.5255,0,Left,1352.7372,0,Left,1500.9415,0,Left,1323.3338,0,Left,1692.7428,1,Right,2400.1605,0,Left,1932.2814,0,Left,1488.9156,0,Left,1223.3803,0,Left,1603.5651,0,Left,2948.4873,0,Left,2441.1417,0,Left,1751.9434,0,Left,2228.0293,0,Left,1237.467,0,Left,3129.8029,1,Right,2126.6179,0,Left,1994.0168,0,Left,1515.6274,0,Left,1697.325,1,Right,1737.264,1,Right,1967.6967,1,Right,1579.4339,1,Right,1955.8386,0,Left,2868.0259,1,Right,3022.0779,0,Left,3303.8423,0,Left,2335.6571,1,Right,2017.9578,0,Left,1441.6179,0,Left,1183.7325,0,Left,978.1401,0,Left,3208.2313,1,Right,1648.1141,0,Left,1185.0537,0,Left,1429.0519,1,Right,2017.3,0,Left,1767.4595,1,Right,1193.7974,0,Left,1884.8788,1,Right,2628.4232,0,Left,1916.5245,1,Right,2292.1876,1,Right,1301.8649,0,Left,1142.1188,1,Right,1791.0336,0,Left,1033.7533
Nandos_Menu_Task5 (1),13,Resp_012,FEMALE,30,Default,0,Left,1057.9774,0,Left,1758.6556,0,Left,1345.0207,0,Left,1028.154,0,Left,1616.9305,0,Left,828.5306,0,Left,3239.612,0,Left,1045.6646,0,Left,1821.6429,0,Left,772.8969,1,Right,2187.4527,1,Right,3563.5768,1,Right,2006.3791,0,Left,1559.7219,0,Left,2428.666,1,Right,2410.1759,0,Left,1540.5576,0,Left,2025.166,0,Left,1315.8466,0,Left,1149.5684,1,Right,1966.7809,0,Left,1060.32,1,Right,3369.6577,0,Left,913.23,0,Left,638.4066,0,Left,806.6497,0,Left,1327.5163,0,Left,1888.2374,0,Left,739.5497,0,Left,1398.2706,0,Left,1454.2024,0,Left,1313.8525,0,Left,771.315,0,Left,1508.3224,0,Left,1783.6661,0,Left,1491.1918,0,Left,772.8374,0,Left,1797.6504,0,Left,2249.0777,0,Left,1147.1124,0,Left,4079.2239,0,Left,2614.1434,0,Left,1258.9629,0,Left,1221.0558,1,Right,1373.2734,0,Left,2160.7777,1,Right,2527.7929,0,Left,1291.858,0,Left,1282.31,0,Left,1175.656,0,Left,2940.4048,0,Left,840.3651,1,Right,1815.115,0,Left,1621.0881,0,Left,1103.9136,0,Left,1898.7628,0,Left,2618.0275,0,Left,1701.5153,0,Left,1134.485,0,Left,1126.813,1,Right,1797.8629,0,Left,1161.9038,0,Left,1933.3563,0,Left,1621.9274,1,Right,2585.084,0,Left,1771.8253,0,Left,1087.7902,0,Left,1145.0722,0,Left,1696.2838,1,Right,2162.7691,0,Left,950.027
Nandos_Menu_Task5 (1),15,Resp_040,MALE,21,Default,0,Left,1006.3744,1,Right,1745.934,0,Left,1110.3757,1,Right,1547.2406,1,Right,2081.9043,0,Left,1206.2232,1,Right,1325.3216,0,Left,1688.1763,1,Right,1258.6595,0,Left,1123.9928,1,Right,1180.2398,1,Right,1356.4844,1,Right,1160.4703,1,Right,1126.7327,1,Right,2915.4452,0,Left,1328.5775,0,Left,1746.457,1,Right,1017.4454,0,Left,1389.6864,0,Left,1154.655,1,Right,1592.7266,0,Left,895.5779,1,Right,1135.7435,0,Left,1159.3069,0,Left,1007.4607,0,Left,2791.8512,0,Left,1006.276,0,Left,1338.0641,1,Right,1258.7323,1,Right,1375.5042,0,Left,1064.9853,1,Right,2130.3927,0,Left,940.5565,0,Left,1623.6635,1,Right,1307.4461,0,Left,2017.2567,0,Left,1396.7377,1,Right,1075.1763,0,Left,1526.1848,1,Right,932.2911,1,Right,1057.2513,1,Right,1233.0723,1,Right,1767.2692,1,Right,1625.6134,0,Left,1033.6037,0,Left,1382.3618,0,Left,2022.6509,1,Right,1541.7602,1,Right,1649.1083,1,Right,1257.9129,1,Right,4076.5076,0,Left,1247.5235,1,Right,1492.4251,1,Right,1990.8418,1,Right,1544.5608,1,Right,1082.6654,1,Right,1465.4803,1,Right,1039.2011,0,Left,1053.1258,0,Left,1658.3142,1,Right,2173.6976,1,Right,1672.3102,1,Right,1117.0916,1,Right,1406.3783,0,Left,1494.8444,0,Left,1944.0071,1,Right,1188.02,0,Left,1718.9324,1,Right,1136.5757,0,Left,1132.6146,1,Right,1437.0005
Nandos_Menu_Task5 (1),17,Resp_014,MALE,42,Default,0,Left,734.1238,0,Left,1058.9142,0,Left,1251.0398,0,Left,1796.8595,1,Right,1840.597,0,Left,811.3067,0,Left,1255.6953,0,Left,3157.1203,1,Right,1445.0001,0,Left,1337.7129,1,Right,1533.202,1,Right,2470.7375,0,Left,1804.4373,0,Left,3108.8444,0,Left,918.062,0,Left,1557.9716,0,Left,1026.7664,1,Right,3685.9845,0,Left,3396.9208,0,Left,2114.6235,1,Right,2634.1173,0,Left,1043.1496,0,Left,1891.9816,0,Left,902.7942,0,Left,1355.3675,0,Left,1583.3866,0,Left,1962.1323,0,Left,1412.6082,0,Left,1950.5963,1,Right,2798.0002,0,Left,1462.616,0,Left,1496.9635,0,Left,1725.4048,1,Right,1406.0337,1,Right,2615.3219,0,Left,1315.5246,0,Left,2330.1708,0,Left,5357.1496,0,Left,1214.3655,1,Right,1572.5077,0,Left,2849.3155,0,Left,1485.944,0,Left,2353.7224,0,Left,195.5605,1,Right,1771.5953,0,Left,2048.0143,0,Left,2885.9175,0,Left,4214.2738,0,Left,2225.0698,1,Right,10278.1931,1,Right,6372.2769,0,Left,1479.9972,1,Right,1717.1746,1,Right,3253.9602,0,Left,2483.006,0,Left,2648.2837,1,Right,3551.2143,1,Right,2610.57,0,Left,1586.138,0,Left,1487.6344,1,Right,1276.0125,0,Left,1633.9728,1,Right,1929.6009,0,Left,4556.7018,1,Right,1163.3368,0,Left,2635.0211,0,Left,2294.9765,1,Right,1979.418,1,Right,1526.0817,0,Left,1704.2402,0,Left,2043.5174
Nandos_Menu_Task5 (1),18,Resp_042,MALE,40,Default,0,Left,993.0322,0,Left,777.5011,0,Left,1625.0385,1,Right,2482.6516,1,Right,3267.1784,0,Left,1269.9091,0,Left,1048.2318,0,Left,1177.9521,1,Right,1702.723,0,Left,904.4132,1,Right,858.4001,1,Right,1134.5274,1,Right,728.7712,1,Right,1218.8242,0,Left,987.9393,0,Left,1815.4712,0,Left,1708.9567,1,Right,983.0114,1,Right,869.687,0,Left,2314.5019,1,Right,856.4953,0,Left,932.2634,1,Right,923.5291,0,Left,682.9264,0,Left,987.4765,0,Left,1491.5348,0,Left,2973.0277,0,Left,822.0452,0,Left,747.9518,1,Right,1171.3523,0,Left,681.0305,0,Left,1176.4937,0,Left,1253.0951,0,Left,1205.473,0,Left,1551.5542,0,Left,1375.2072,1,Right,2601.4874,0,Left,4269.7124,0,Left,796.3044,1,Right,1065.8758,1,Right,1837.0993,1,Right,1250.295,1,Right,3083.7497,0,Left,545.5393,1,Right,764.8312,0,Left,1299.838,1,Right,1105.0787,0,Left,2310.8331,0,Left,1707.9224,1,Right,2955.3858,0,Left,4340.7518,0,Left,948.2451,1,Right,2063.5721,1,Right,1414.3869,1,Right,3095.5202,1,Right,1020.2707,1,Right,2363.2773,1,Right,1208.188,0,Left,678.3144,0,Left,1141.8352,0,Left,2162.5293,0,Left,3111.3157,1,Right,1262.4991,0,Left,1453.2842,0,Left,2083.8117,0,Left,868.6763,1,Right,953.8189,1,Right,1447.2094,1,Right,1575.4742,1,Right,1367.0475,0,Left,985.1091
Nandos_Menu_Task5 (1),32,Resp_016,FEMALE,50,Default,0,Left,1624.5626,0,Left,1633.6318,0,Left,1985.5076,1,Right,5653.7155,0,Left,3239.4251,0,Left,1719.6351,0,Left,1820.6602,0,Left,1868.7482,1,Right,4418.3104,0,Left,1639.3203,1,Right,1943.5481,0,Left,3610.7469,0,Left,4076.2454,0,Left,6543.7913,0,Left,2206.5582,1,Right,1840.0437,0,Left,1570.0679,1,Right,4258.781,1,Right,3689.9105,0,Left,2049.9693,1,Right,1881.4861,0,Left,1803.3382,0,Left,1711.3684,0,Left,2632.9392,0,Left,1744.1976,0,Left,1855.3096,0,Left,2735.5349,0,Left,1559.1554,0,Left,2275.6571,0,Left,2933.8608,0,Left,1857.7474,0,Left,1713.4461,0,Left,1770.0547,0,Left,3457.8998,0,Left,3927.571,0,Left,2607.5835,1,Right,4122.5947,1,Right,6147.176,0,Left,2713.0451,1,Right,2835.7718,0,Left,3296.2444,0,Left,1862.2016,0,Left,2554.9778,0,Left,1664.5537,1,Right,3401.2213,1,Right,5572.4493,1,Right,4502.4499,1,Right,2255.0541,0,Left,2783.4222,1,Right,2454.0364,1,Right,4114.9582,0,Left,2189.9074,0,Left,2610.2797,0,Left,3750.954,0,Left,2121.3184,0,Left,2721.8395,1,Right,8949.0533,1,Right,2421.0405,0,Left,1887.5106,0,Left,1558.2855,1,Right,2255.5852,0,Left,2527.5514,1,Right,1641.7299,0,Left,2143.3309,1,Right,2305.6652,1,Right,3066.163,1,Right,1967.6618,1,Right,1973.2853,1,Right,2884.1279,0,Left,3059.2389,0,Left,2278.6391
Nandos_Menu_Task5 (1),34,Resp_062,MALE,49,Default,0,Left,1336.6586,0,Left,2068.2508,0,Left,2488.7915,0,Left,2103.6444,0,Left,2478.6688,0,Left,1580.0702,0,Left,1976.9021,0,Left,2792.5458,1,Right,1655.0858,0,Left,1706.8117,1,Right,2290.9957,1,Right,2222.6238,1,Right,2086.4183,1,Right,2327.1828,1,Right,3036.306,0,Left,1606.3584,0,Left,1166.9664,1,Right,2731.3279,1,Right,1547.9883,1,Right,1311.0661,1,Right,1853.7673,0,Left,2475.6376,1,Right,1685.6715,0,Left,1497.0034,0,Left,1954.6055,0,Left,2236.3031,0,Left,2204.3284,0,Left,1668.6689,0,Left,2630.9149,1,Right,2246.8796,0,Left,1364.226,0,Left,2240.8935,0,Left,1619.4241,1,Right,2071.3741,0,Left,2220.9031,1,Right,1298.8271,0,Left,2164.2177,0,Left,1518.5472,0,Left,1110.5262,1,Right,1534.0177,0,Left,2375.6435,1,Right,3044.9064,0,Left,2949.8797,0,Left,1957.3556,1,Right,1283.6476,1,Right,1133.9669,1,Right,2214.3184,1,Right,2303.8105,0,Left,2412.5845,0,Left,2390.6037,0,Left,3192.0781,0,Left,1668.5524,0,Left,1198.9715,1,Right,4678.9453,1,Right,2162.5508,0,Left,2823.1918,1,Right,3223.5126,1,Right,1533.8254,0,Left,1822.8195,0,Left,1662.0531,1,Right,1517.2154,0,Left,1216.1433,1,Right,2723.7583,0,Left,2757.6532,1,Right,990.6469,0,Left,2338.715,1,Right,1782.2063,0,Left,1978.447,1,Right,1202.2014,1,Right,1618.0323,0,Left,1842.4338
