#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide8 Current1","223042","121982","","","121982","1","16","7.87","0.2457"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide13 Current2","380089","72276","","","72276","1","12","9.96","0.3029"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide22 Item1","779141","8180","","","8180","1","2","14.67","0.4237"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide24 Item2","788338","12020","","","12020","1","2","9.98","0.5667"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide26 Item3","801383","62260","","","62260","1","9","8.67","0.304"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide28 Item4","864672","8730","","","8730","1","2","13.75","1.0006"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide30 Item5","874436","9861","","","9861","1","1","6.08","0.5922"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide45 Stim4","1137914","2990","","","2990","1","1","20.07","1.5265"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide69 Stim12","1142414","5993","","","5993","1","2","20.02","0.8015"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide54 Stim7","1149912","11996","","","11996","1","2","10","0.4518"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide39 Stim2","1163450","12006","","","12006","1","1","5","1.6847"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide66 Stim11","1176982","12002","","","12002","1","2","10","0.3982"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide48 Stim5","1190511","11985","","","11985","1","2","10.01","0.0638"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide36 Stim1","1204021","3003","","","3003","1","1","19.98","0.7811"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide63 Stim10","1208554","11995","","","11995","1","1","5","0.1634"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide51 Stim6","1222072","5988","","","5988","1","1","10.02","0.0153"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide42 Stim3","1229569","5991","","","5991","1","1","10.01","0.4237"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide60 Stim9","1237093","12000","","","12000","1","2","10","0.1583"
"Nandos_Menu_Current_Subset1_2","Resp_005","MALE","30","Default","Stimulus","Slide57 Stim8","1250620","5986","","","5986","1","1","10.02","1.6847"
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide8 Current1","288543","277561","","","277561","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide13 Current2","601487","102744","","","102744","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide22 Item1","963222","30837","","","30837","1","1","1.95","0.0142"
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide24 Item2","995256","87999","","","87999","1","2","1.36","0.0212"
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide26 Item3","1084434","40167","","","40167","1","1","1.49","0.0053"
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide28 Item4","1125777","11269","","","11269","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide30 Item5","1138200","7580","","","7580","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide57 Stim8","1432088","5992","","","5992","0","0","0",NA
