#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide8 Current1","243967","169608","","","169608","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide13 Current2","448754","64252","","","64252","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide22 Item1","882424","23220","","","23220","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide24 Item2","906739","16800","","","16800","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide26 Item3","924607","12529","","","12529","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide28 Item4","938220","9075","","","9075","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide30 Item5","948356","6770","","","6770","1","1","8.86","0.0107"
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide51 Stim6","1162777","5992","","","5992","1","1","10.01","0.0107"
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide63 Stim10","1170373","12011","","","12011","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide36 Stim1","1184005","2995","","","2995","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide54 Stim7","1188638","11999","","","11999","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide60 Stim9","1202237","11995","","","11995","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide42 Stim3","1215852","5989","","","5989","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide45 Stim4","1223452","3000","","","3000","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide66 Stim11","1228053","11991","","","11991","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide57 Stim8","1241641","5997","","","5997","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide48 Stim5","1249269","12008","","","12008","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide39 Stim2","1262872","12005","","","12005","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp 024","MALE","33","Default","Stimulus","Slide69 Stim12","1276483","6000","","","6000","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide8 Current1","173883","88215","","","88215","1","2","1.36","0.0191"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide13 Current2","298379","55817","","","55817","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide22 Item1","582504","7451","","","7451","1","1","8.05","0.0333"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide24 Item2","591419","14113","","","14113","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide26 Item3","606993","57360","","","57360","1","3","3.14","0.013"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide28 Item4","665779","7300","","","7300","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide30 Item5","674579","4457","","","4457","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide63 Stim10","860303","11997","","","11997","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide66 Stim11","874750","11987","","","11987","1","1","5.01","0.1008"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide54 Stim7","888915","11997","","","11997","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide39 Stim2","903198","11996","","","11996","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide51 Stim6","917347","6009","","","6009","1","1","9.98","0.0093"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide60 Stim9","925706","12004","","","12004","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide42 Stim3","939913","5997","","","5997","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide45 Stim4","948162","2996","","","2996","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide69 Stim12","953333","6002","","","6002","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide48 Stim5","961545","11995","","","11995","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide36 Stim1","975877","3018","","","3018","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_012","FEMALE","30","Default","Stimulus","Slide57 Stim8","981143","6022","","","6022","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide8 Current1","248107","111364","","","111364","1","9","4.85","0.0399"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide13 Current2","396539","40653","","","40653","1","3","4.43","0.0323"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide22 Item1","697445","9451","","","9451","1","2","12.7","0.1106"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide24 Item2","708611","5461","","","5461","1","2","21.97","0.052"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide26 Item3","715829","50439","","","50439","1","9","10.71","0.1331"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide28 Item4","768091","5928","","","5928","1","2","20.24","0.1138"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide30 Item5","775845","9810","","","9810","1","3","18.35","0.0161"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide45 Stim4","1087289","2992","","","2992","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide57 Stim8","1093006","6003","","","6003","1","3","29.99","0.0441"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide36 Stim1","1101755","2995","","","2995","1","1","20.03","0.0133"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide66 Stim11","1107376","12008","","","12008","1","3","14.99","0.011"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide51 Stim6","1122098","5995","","","5995","1","2","20.02","0.0075"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide60 Stim9","1130869","11996","","","11996","1","3","15","0.0145"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide63 Stim10","1145702","12003","","","12003","1","1","5","1.0381"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide54 Stim7","1160376","12029","","","12029","1","2","9.98","0.0493"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide42 Stim3","1175167","6003","","","6003","1","1","10","0.0111"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide39 Stim2","1183850","11993","","","11993","1","2","10.01","0.0992"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide69 Stim12","1198549","5996","","","5996","1","1","10.01","0.0178"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_014","MALE","42","Default","Stimulus","Slide48 Stim5","1207265","12036","","","12036","1","5","24.92","0.0132"
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide8 Current1","213855","81150","","","81150","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide13 Current2","330230","20409","","","20409","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide22 Item1","715057","28452","","","28452","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide24 Item2","744702","71055","","","71055","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide26 Item3","816836","74625","","","74625","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide28 Item4","892549","6573","","","6573","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide30 Item5","900181","4150","","","4150","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide42 Stim3","1177263","5993","","","5993","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide69 Stim12","1184881","5996","","","5996","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide51 Stim6","1192460","5997","","","5997","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide54 Stim7","1200063","11989","","","11989","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide57 Stim8","1213651","5994","","","5994","0","0","0",NA
"Nandos_Menu_Current_Subset1_2 (1)","Resp_016","FEMALE","50","Default","Stimulus","Slide60 Stim9","1221243","11994","","","11994","0","0","0",NA
