#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide8 NewF1","332785","329184","","","329184","1","4","0.73","0.1222"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide13 NewF2","697127","81769","","","81769","1","2","1.47","0.0699"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide22 Item1","1144780","22025","","","22025","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide24 Item2","1167890","15717","","","15717","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide26 Item3","1184705","13315","","","13315","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide28 Item4","1199079","8781","","","8781","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide30 Item5","1208929","9919","","","9919","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide45 Stim4","1533716","6000","","","6000","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide36 Stim1","1541360","2992","","","2992","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide42 Stim3","1545942","5990","","","5990","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide54 Stim7","1553555","12002","","","12002","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide60 Stim9","1567126","11992","","","11992","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide66 Stim11","1580754","11988","","","11988","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide39 Stim2","1594356","12001","","","12001","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide57 Stim8","1607956","5991","","","5991","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide63 Stim10","1615556","11999","","","11999","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide51 Stim6","1629237","5992","","","5992","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide48 Stim5","1636804","11991","","","11991","1","1","5","0.0075"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_036","MALE","30","Default","Stimulus","Slide69 Stim12","1650384","6003","","","6003","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide8 NewF1","198006","81404","","","81404","1","8","5.9","0.1997"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide13 NewF2","315019","22549","","","22549","1","3","7.98","0.0195"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide22 Item1","588390","11037","","","11037","1","1","5.44","0.0278"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide24 Item2","600689","8292","","","8292","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide26 Item3","610253","14279","","","14279","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide28 Item4","625769","7347","","","7347","1","2","16.33","0.2557"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide30 Item5","634416","7774","","","7774","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide54 Stim7","828345","11998","","","11998","1","1","5","0.0103"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide63 Stim10","842285","11999","","","11999","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide57 Stim8","856240","5995","","","5995","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide69 Stim12","864334","6000","","","6000","1","1","10","0.022"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide51 Stim6","872204","6003","","","6003","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide60 Stim9","880100","11996","","","11996","1","1","5","0.0073"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide45 Stim4","894049","5997","","","5997","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide36 Stim1","902036","2993","","","2993","1","1","20.05","0.0205"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide42 Stim3","906954","5999","","","5999","1","1","10","0.0103"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide39 Stim2","914814","11997","","","11997","1","1","5","0.0337"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide66 Stim11","928738","11996","","","11996","1","1","5","0.1304"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_038","MALE","22","Default","Stimulus","Slide48 Stim5","942713","11995","","","11995","1","1","5","0.1084"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide8 NewF1","166702","123784","","","123784","1","10","4.85","0.0773"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide13 NewF2","327120","37727","","","37727","1","2","3.18","0.0533"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide22 Item1","679782","32449","","","32449","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide24 Item2","713881","12178","","","12178","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide26 Item3","727637","5330","","","5330","1","1","11.26","0.0366"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide28 Item4","734610","9441","","","9441","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide30 Item5","745646","46644","","","46644","1","2","2.57","0.019"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide69 Stim12","987474","5995","","","5995","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide54 Stim7","995882","11991","","","11991","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide51 Stim6","1010292","6007","","","6007","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide39 Stim2","1018730","12009","","","12009","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide45 Stim4","1033218","6015","","","6015","1","1","9.98","0.0226"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide63 Stim10","1041778","12031","","","12031","1","1","4.99","0.0058"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide48 Stim5","1056360","11996","","","11996","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide60 Stim9","1070809","11997","","","11997","1","2","10","0.1339"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide66 Stim11","1085313","12025","","","12025","1","2","9.98","0.0329"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide57 Stim8","1099811","6016","","","6016","1","1","9.97","0.0102"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide36 Stim1","1108237","3012","","","3012","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_040","MALE","21","Default","Stimulus","Slide42 Stim3","1113656","5997","","","5997","1","1","10","0.024"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide8 NewF1","201356","83815","","","83815","1","11","7.87","0.0645"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide13 NewF2","322748","22375","","","22375","1","2","5.36","0.063"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide22 Item1","534101","6199","","","6199","1","1","9.68","0.2093"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide24 Item2","542337","39948","","","39948","1","11","16.52","0.4034"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide26 Item3","584366","12238","","","12238","1","4","19.61","0.4526"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide28 Item4","598540","5716","","","5716","1","1","10.5","0.1021"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide30 Item5","606315","16084","","","16084","1","3","11.19","0.0766"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide42 Stim3","809183","5998","","","5998","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide54 Stim7","818170","12042","","","12042","1","2","9.97","0.0485"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide69 Stim12","833134","6035","","","6035","1","1","9.94","0.0306"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide51 Stim6","842199","5992","","","5992","1","1","10.01","0.0306"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide48 Stim5","851200","12037","","","12037","1","2","9.97","0.1021"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide36 Stim1","866217","2998","","","2998","1","2","40.03","0.023"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide39 Stim2","872241","12002","","","12002","1","3","15","0.0927"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide60 Stim9","887294","12008","","","12008","1","3","14.99","0.0557"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide66 Stim11","902279","11992","","","11992","1","3","15.01","0.0938"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide45 Stim4","917396","6016","","","6016","1","2","19.95","0.1341"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide57 Stim8","926429","5999","","","5999","1","2","20","0.0821"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_042","MALE","40","Default","Stimulus","Slide63 Stim10","935412","11998","","","11998","1","3","15","0.0552"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide8 NewF1","167358","46545","","","46545","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide13 NewF2","249022","23226","","","23226","1","2","5.17","0.1072"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide22 Item1","452776","6604","","","6604","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide24 Item2","460470","15451","","","15451","1","1","3.88","0.0067"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide26 Item3","476990","34187","","","34187","1","1","1.76","0.0369"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide28 Item4","512255","5997","","","5997","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide30 Item5","519310","5327","","","5327","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide39 Stim2","722747","11994","","","11994","1","3","15.01","0.0792"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide66 Stim11","736386","11997","","","11997","1","2","10","0.0577"
"Nandos_Menu_NewFunctional_Subset2_2 (1)","Resp_044","FEMALE","40","Default","Stimulus","Slide60 Stim9","749967","11998","","","11998","1","2","10","0.0184"
