#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide8 NewU1","148543","53529","","","53529","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide13 NewU2","227590","8874","","","8874","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide22 Item1","413854","22361","","","22361","1","3","8.05","0.0737"
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide24 Item2","437577","7307","","","7307","1","1","8.21","0.0821"
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide26 Item3","446253","9490","","","9490","1","1","6.32","0.0249"
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide28 Item4","457116","4967","","","4967","1","1","12.08","0.1026"
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide30 Item5","463463","7889","","","7889","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide48 Stim5","645966","11995","","","11995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide66 Stim11","659999","11985","","","11985","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide42 Stim3","674060","6007","","","6007","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide63 Stim10","682135","12008","","","12008","1","1","5","0.0191"
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide57 Stim8","696217","6008","","","6008","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide60 Stim9","704303","11997","","","11997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide54 Stim7","718380","12008","","","12008","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide69 Stim12","732479","6001","","","6001","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide51 Stim6","740598","6005","","","6005","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide39 Stim2","748702","11988","","","11988","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide36 Stim1","762792","2995","","","2995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_061","FEMALE","23","Default","Stimulus","Slide45 Stim4","767875","6002","","","6002","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide8 NewU1","222280","130304","","","130304","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide13 NewU2","387649","40863","","","40863","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide22 Item1","720066","43274","","","43274","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide24 Item2","764372","12698","","","12698","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide26 Item3","778094","27107","","","27107","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide28 Item4","806216","8363","","","8363","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide30 Item5","815612","5393","","","5393","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide57 Stim8","1022573","5992","","","5992","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide63 Stim10","1030075","11989","","","11989","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide36 Stim1","1043575","2990","","","2990","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide39 Stim2","1048075","11989","","","11989","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide66 Stim11","1061576","11989","","","11989","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide69 Stim12","1075072","5994","","","5994","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide45 Stim4","1082578","6001","","","6001","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide42 Stim3","1090110","5999","","","5999","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide48 Stim5","1097626","12007","","","12007","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide54 Stim7","1111151","11997","","","11997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide60 Stim9","1124667","11992","","","11992","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_063","FEMALE","32","Default","Stimulus","Slide51 Stim6","1138167","5990","","","5990","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_065","FEMALE","35","Default","Stimulus","Slide8 NewU1","331219","127428","","","127428","1","3","1.41","0.0065"
"Nandos_Menu_NewUnique_Subset3_2","Resp_065","FEMALE","35","Default","Stimulus","Slide13 NewU2","494017","29804","","","29804","1","1","2.01","0.016"
"Nandos_Menu_NewUnique_Subset3_2","Resp_065","FEMALE","35","Default","Stimulus","Slide22 Item1","783168","47397","","","47397","1","4","5.06","0.0205"
"Nandos_Menu_NewUnique_Subset3_2","Resp_065","FEMALE","35","Default","Stimulus","Slide24 Item2","831743","18006","","","18006","1","3","10","0.0088"
"Nandos_Menu_NewUnique_Subset3_2","Resp_065","FEMALE","35","Default","Stimulus","Slide26 Item3","850901","81662","","","81662","1","4","2.94","0.0099"
"Nandos_Menu_NewUnique_Subset3_2","Resp_065","FEMALE","35","Default","Stimulus","Slide28 Item4","933735","9161","","","9161","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2","Resp_065","FEMALE","35","Default","Stimulus","Slide30 Item5","944068","7544","","","7544","0","0","0",NA
