#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide8 NewU1","244574","104733","","","104733","1","3","1.72","0.0133"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide13 NewU2","385024","33784","","","33784","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide22 Item1","623084","30546","","","30546","1","4","7.86","0.0308"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide24 Item2","654933","23840","","","23840","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide26 Item3","680068","14855","","","14855","1","1","4.04","0.0343"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide28 Item4","696271","12986","","","12986","1","1","4.62","0.0615"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide30 Item5","710522","19729","","","19729","1","1","3.04","0.0226"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide60 Stim9","930333","11998","","","11998","1","1","5","0.016"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide48 Stim5","944232","11989","","","11989","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide36 Stim1","958148","2998","","","2998","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide57 Stim8","963000","5996","","","5996","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide69 Stim12","970868","5994","","","5994","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide42 Stim3","978875","5995","","","5995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide39 Stim2","986774","11995","","","11995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide45 Stim4","1000756","6001","","","6001","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide63 Stim10","1008679","11997","","","11997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide66 Stim11","1022526","11995","","","11995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide54 Stim7","1036411","12004","","","12004","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_062","MALE","49","Default","Stimulus","Slide51 Stim6","1050309","5997","","","5997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide8 NewU1","248708","65230","","","65230","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide13 NewU2","350116","56166","","","56166","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide22 Item1","909682","39783","","","39783","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide24 Item2","950914","25266","","","25266","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide26 Item3","977662","99815","","","99815","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide28 Item4","1078959","6181","","","6181","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide30 Item5","1086541","10840","","","10840","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide69 Stim12","1312147","6003","","","6003","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_064","MALE","33","Default","Stimulus","Slide66 Stim11","1320254","12002","","","12002","0","0","0",NA
