respondent,resp_id_old,subset,subset_old,survey_immediate_start
1,5,1,Nandos_Menu_Current_Subset1_2,05/19/2025 1:13:53 PM
2,6,1,Nandos_Menu_Current_Subset1,05/19/2025 1:57:44 PM
3,8,1,Nandos_Menu_Current_Subset1_2,05/19/2025 2:17:19 PM
4,10,1,Nandos_Menu_Current_Subset1,05/19/2025 2:58:44 PM
5,39,2,Nandos_Menu_NewFunctional_Subset2_2,05/19/2025 3:10:27 PM
6,7,1,Nandos_Menu_Current_Subset1,05/19/2025 4:07:46 PM
7,1,1,Nandos_Menu_Current_Subset1,05/19/2025 9:40:05 AM
8,2,1,Nandos_Menu_Current_Subset1,05/19/2025 9:44:06 AM
9,3,1,Nandos_Menu_Current_Subset1,05/19/2025 10:19:02 AM
10,32,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 10:48:53 AM
11,31,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 11:21:29 AM
12,4,1,Nandos_Menu_Current_Subset1,05/19/2025 11:51:59 AM
13,12,1,Nandos_Menu_Current_Subset1_2 (1),05/20/2025 1:36:36 PM
14,37,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 2:30:50 PM
15,40,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 2:38:16 PM
16,13,1,Nandos_Menu_Current_Subset1_2,05/20/2025 3:21:20 PM
17,14,1,Nandos_Menu_Current_Subset1_2 (1),05/20/2025 3:34:50 PM
18,42,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 4:26:15 PM
19,11,1,Nandos_Menu_Current_Subset1_2,05/20/2025 9:21:59 AM
20,33,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 10:20:54 AM
21,36,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 10:38:52 AM
22,61,3,Nandos_Menu_NewUnique_Subset3_2,05/20/2025 11:14:26 AM
23,38,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 11:30:49 AM
24,35,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 12:47:28 PM
25,18,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 1:17:43 PM
26,20,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 2:24:57 PM
27,69,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 2:27:03 PM
28,66,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 3:14:11 PM
29,41,2,Nandos_Menu_NewFunctional_Subset2_2,05/21/2025 3:34:12 PM
30,71,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 4:24:33 PM
31,63,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 9:09:33 AM
32,16,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 9:10:32 AM
33,65,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 9:56:23 AM
34,62,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 10:22:22 AM
35,64,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 11:15:20 AM
36,67,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 11:17:15 AM
37,17,1,Nandos_Menu_Current_Subset1_2,05/22/2025 1:11:44 PM
