,respondent,resp_id_old,subset,subset_old,survey_immediate_start,sns_filename_x,sns_findSpecific_Item1_RT,sns_findSpecific_Item1_AOISelected,sns_findSpecific_Item1_AOIAccuracy,sns_findSpecific_Item1_FixationCount,sns_findSpecific_Item2_RT,sns_findSpecific_Item2_AOISelected,sns_findSpecific_Item2_AOIAccuracy,sns_findSpecific_Item2_FixationCount,sns_findSpecific_Item3_RT,sns_findSpecific_Item3_AOISelected,sns_findSpecific_Item3_AOIAccuracy,sns_findSpecific_Item3_FixationCount,sns_findSpecific_Item4_RT,sns_findSpecific_Item4_AOISelected,sns_findSpecific_Item4_AOIAccuracy,sns_findSpecific_Item4_FixationCount,sns_findSpecific_Item5_RT,sns_findSpecific_Item5_AOISelected,sns_findSpecific_Item5_AOIAccuracy,sns_findSpecific_Item5_FixationCount,sns_findSpecific_Item1_subjUndiscovered,sns_findSpecific_Item2_subjUndiscovered,sns_findSpecific_Item3_subjUndiscovered,sns_findSpecific_Item4_subjUndiscovered,sns_findSpecific_Item5_subjUndiscovered,sns_findAnything_BackPage_RT,sns_findAnything_BackPage_AOISelected,sns_findAnything_BackPage_AOIAccuracy,sns_findAnything_BackPage_FixationCount,sns_findAnything_FrontPage_RT,sns_findAnything_FrontPage_AOISelected,sns_findAnything_FrontPage_AOIAccuracy,sns_findAnything_FrontPage_FixationCount
0,1,5,1,Nandos_Menu_Current_Subset1_2,05/19/2025 1:13:53 PM,014_Resp_005.csv,5859.2224,Item_17,4,20,8255.2638,Item_17,4,23,59601.4521,Item_84,4,153,6246.9479,Item_10,4,19,8033.2094,Item_46,4,18,0,1,0,1,1,53286.635,Item_26,4,131,111714.612,Item_65,3,275
1,2,6,1,Nandos_Menu_Current_Subset1,05/19/2025 1:57:44 PM,003_Resp_006 (3).csv,28479.0846,Item_74,3,21,7262.4763,Item_03,4,16,32570.361,,3,16,5785.1189,Item_70,4,19,4191.6719,,2,,0,0,0,1,0,0,0,0,0,36277.2713,Item_15,3,68
2,3,8,1,Nandos_Menu_Current_Subset1_2,05/19/2025 2:17:19 PM,013_Resp_008.csv,25746.1085,Item_73,4,67,67967.8263,Item_17,3,84,37120.655,Item_03,3,42,9134.4821,Item_10,4,14,5571.0546,Item_30,3,11,0,1,0,1,1,92199.5613,Visual_14,3,178,177663.5814,Item_78,4,407
3,4,10,1,Nandos_Menu_Current_Subset1,05/19/2025 2:58:44 PM,004_Resp_010 (3).csv,13067.8902,Item_73,4,27,,,,,61147.5715,Item_78,4,167,,,,,,,,,0,0,0,1,0,16925.2591,Item_98,4,37,18932.6159,Item_15,3,38
4,5,39,2,Nandos_Menu_NewFunctional_Subset2_2,05/19/2025 3:10:27 PM,012_Resp_039.csv,46615.9442,Item_65,3,130,39214.8979,Item_69,4,116,20445.8101,,4,60,4274.9225,Item_10,4,8,41698.316,Item_46,3,109,1,1,0,1,1,18331.6336,Item_10,3,37,56360.7311,Heading_08,4,162
5,6,7,1,Nandos_Menu_Current_Subset1,05/19/2025 4:07:46 PM,005_Resp_007 (3).csv,180124.0103,Item_17,4,259,89303.3248,Item_06,3,139,34447.7608,Item_51,4,44,15482.6329,Item_70,4,40,15024.7941,Item_30,4,26,0,1,0,1,0,200718.054,Item_109,3,342,164070.3832,Item_03,4,313
6,7,1,1,Nandos_Menu_Current_Subset1,05/19/2025 9:40:05 AM,001_Resp_001.csv,13950.7355,Item_16,3,,25601.3658,Item_17,3,,10768.3919,Item_60,3,,6972.9638,Item_10,3,,4008.7349,Item_30,2,,,,,,,35222.7065,Item_98,3,0,21956.3804,Item_86 dwelled on; Item_31 dwelled on; Item_86 dwelled on (1); Item_31 dwelled on (1),2,0
7,8,2,1,Nandos_Menu_Current_Subset1,05/19/2025 9:44:06 AM,001_Resp_002 (3).csv,21159.1792,Item_03,4,61,18592.4763,Item_73,4,54,18139.757,Item_51,4,47,6998.6281,Item_70,4,16,6657.8013,Item_46,4,16,0,1,0,1,0,15553.3794,Item_92,4,31,51731.0985,Item_32,4,118
8,9,3,1,Nandos_Menu_Current_Subset1,05/19/2025 10:19:02 AM,006_Resp_003 (3).csv,11641.2196,,4,27,33283.1843,Item_17,4,87,67675.9458,Item_07,3,184,10626.5649,Item_47,4,36,6617.7614,Item_46,3,20,,,,,,73189.9036,Heading_11,3,182,87440.9366,Item_87,4,240
9,10,32,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 10:48:53 AM,001_Resp_032.csv,14804,Item_09,4,41,5910,Item_17,4,18,3166,Item_61,4,5,3537,Item_47,4,9,4299,Item_46,4,12,,,,,,14781,Item_48,4,31,54743,Item_35,4,120
