STUDY,respondent,RESPONDENT,GENDER,AGE,GROUP,VALUE_FAM_01_Question (2),ASSIGNED_KEY_FAM_01_Question (2),TIMING_FAM_01_Question (2),VALUE_FAM_02_Question (2),ASSIGNED_KEY_FAM_02_Question (2),TIMING_FAM_02_Question (2),VALUE_FAM_07_Question (2),ASSIGNED_KEY_FAM_07_Question (2),TIMING_FAM_07_Question (2),VALUE_FAM_04_Question (2),ASSIGNED_KEY_FAM_04_Question (2),TIMING_FAM_04_Question (2),VALUE_FAM_03_Question (2),ASSIGNED_KEY_FAM_03_Question (2),TIMING_FAM_03_Question (2),VALUE_FAM_06_Question (2),ASSIGNED_KEY_FAM_06_Question (2),TIMING_FAM_06_Question (2),VALUE_FAM_05_Question (2),ASSIGNED_KEY_FAM_05_Question (2),TIMING_FAM_05_Question (2),VALUE_FAM_08_Question (2),ASSIGNED_KEY_FAM_08_Question (2),TIMING_FAM_08_Question (2),VALUE_FAM_09_Question (2),ASSIGNED_KEY_FAM_09_Question (2),TIMING_FAM_09_Question (2),VALUE_FAM_10_Question (2),ASSIGNED_KEY_FAM_10_Question (2),TIMING_FAM_10_Question (2),VALUE_FAM_11_Question (2),ASSIGNED_KEY_FAM_11_Question (2),TIMING_FAM_11_Question (2),VALUE_FAM_12_Question (2),ASSIGNED_KEY_FAM_12_Question (2),TIMING_FAM_12_Question (2),VALUE_FAM_18_Question (2),ASSIGNED_KEY_FAM_18_Question (2),TIMING_FAM_18_Question (2),VALUE_FAM_13_Question (2),ASSIGNED_KEY_FAM_13_Question (2),TIMING_FAM_13_Question (2),VALUE_FAM_14_Question (2),ASSIGNED_KEY_FAM_14_Question (2),TIMING_FAM_14_Question (2),VALUE_FAM_15_Question (2),ASSIGNED_KEY_FAM_15_Question (2),TIMING_FAM_15_Question (2),VALUE_FAM_30_Question (2),ASSIGNED_KEY_FAM_30_Question (2),TIMING_FAM_30_Question (2),VALUE_FAM_16_Question (2),ASSIGNED_KEY_FAM_16_Question (2),TIMING_FAM_16_Question (2),VALUE_FAM_17_Question (2),ASSIGNED_KEY_FAM_17_Question (2),TIMING_FAM_17_Question (2),VALUE_FAM_19_Question (2),ASSIGNED_KEY_FAM_19_Question (2),TIMING_FAM_19_Question (2),VALUE_FAM_20_Question (2),ASSIGNED_KEY_FAM_20_Question (2),TIMING_FAM_20_Question (2),VALUE_FAM_22_Question (2),ASSIGNED_KEY_FAM_22_Question (2),TIMING_FAM_22_Question (2),VALUE_FAM_21_Question (2),ASSIGNED_KEY_FAM_21_Question (2),TIMING_FAM_21_Question (2),VALUE_FAM_28_Question (2),ASSIGNED_KEY_FAM_28_Question (2),TIMING_FAM_28_Question (2),VALUE_FAM_23_Question (2),ASSIGNED_KEY_FAM_23_Question (2),TIMING_FAM_23_Question (2),VALUE_FAM_24_Question (2),ASSIGNED_KEY_FAM_24_Question (2),TIMING_FAM_24_Question (2),VALUE_FAM_25_Question (2),ASSIGNED_KEY_FAM_25_Question (2),TIMING_FAM_25_Question (2),VALUE_FAM_26_Question (2),ASSIGNED_KEY_FAM_26_Question (2),TIMING_FAM_26_Question (2),VALUE_FAM_27_Question (2),ASSIGNED_KEY_FAM_27_Question (2),TIMING_FAM_27_Question (2),VALUE_FAM_41_Question (2),ASSIGNED_KEY_FAM_41_Question (2),TIMING_FAM_41_Question (2),VALUE_FAM_32_Question (2),ASSIGNED_KEY_FAM_32_Question (2),TIMING_FAM_32_Question (2),VALUE_FAM_29_Question (2),ASSIGNED_KEY_FAM_29_Question (2),TIMING_FAM_29_Question (2),VALUE_FAM_39_Question (2),ASSIGNED_KEY_FAM_39_Question (2),TIMING_FAM_39_Question (2),VALUE_FAM_35_Question (2),ASSIGNED_KEY_FAM_35_Question (2),TIMING_FAM_35_Question (2),VALUE_FAM_36_Question (2),ASSIGNED_KEY_FAM_36_Question (2),TIMING_FAM_36_Question (2),VALUE_FAM_31_Question (2),ASSIGNED_KEY_FAM_31_Question (2),TIMING_FAM_31_Question (2),VALUE_FAM_33_Question (2),ASSIGNED_KEY_FAM_33_Question (2),TIMING_FAM_33_Question (2),VALUE_FAM_38_Question (2),ASSIGNED_KEY_FAM_38_Question (2),TIMING_FAM_38_Question (2),VALUE_FAM_37_Question (2),ASSIGNED_KEY_FAM_37_Question (2),TIMING_FAM_37_Question (2),VALUE_FAM_34_Question (2),ASSIGNED_KEY_FAM_34_Question (2),TIMING_FAM_34_Question (2),VALUE_FAM_40_Question (2),ASSIGNED_KEY_FAM_40_Question (2),TIMING_FAM_40_Question (2),VALUE_FAM_42_Question (2),ASSIGNED_KEY_FAM_42_Question (2),TIMING_FAM_42_Question (2),VALUE_FAM_43_Question (2),ASSIGNED_KEY_FAM_43_Question (2),TIMING_FAM_43_Question (2),VALUE_FAM_44_Question (2),ASSIGNED_KEY_FAM_44_Question (2),TIMING_FAM_44_Question (2),VALUE_FAM_47_Question (2),ASSIGNED_KEY_FAM_47_Question (2),TIMING_FAM_47_Question (2),VALUE_FAM_46_Question (2),ASSIGNED_KEY_FAM_46_Question (2),TIMING_FAM_46_Question (2),VALUE_FAM_45_Question (2),ASSIGNED_KEY_FAM_45_Question (2),TIMING_FAM_45_Question (2),VALUE_FAM_48_Question (2),ASSIGNED_KEY_FAM_48_Question (2),TIMING_FAM_48_Question (2),VALUE_FAM_49_Question (2),ASSIGNED_KEY_FAM_49_Question (2),TIMING_FAM_49_Question (2),VALUE_FAM_52_Question (2),ASSIGNED_KEY_FAM_52_Question (2),TIMING_FAM_52_Question (2),VALUE_FAM_50_Question (2),ASSIGNED_KEY_FAM_50_Question (2),TIMING_FAM_50_Question (2),VALUE_FAM_51_Question (2),ASSIGNED_KEY_FAM_51_Question (2),TIMING_FAM_51_Question (2),VALUE_FAM_53_Question (2),ASSIGNED_KEY_FAM_53_Question (2),TIMING_FAM_53_Question (2),VALUE_FAM_54_Question (2),ASSIGNED_KEY_FAM_54_Question (2),TIMING_FAM_54_Question (2),VALUE_FAM_55_Question (2),ASSIGNED_KEY_FAM_55_Question (2),TIMING_FAM_55_Question (2),VALUE_FAM_56_Question (2),ASSIGNED_KEY_FAM_56_Question (2),TIMING_FAM_56_Question (2),VALUE_FAM_57_Question (2),ASSIGNED_KEY_FAM_57_Question (2),TIMING_FAM_57_Question (2),VALUE_FAM_58_Question (2),ASSIGNED_KEY_FAM_58_Question (2),TIMING_FAM_58_Question (2),VALUE_FAM_59_Question (2),ASSIGNED_KEY_FAM_59_Question (2),TIMING_FAM_59_Question (2),VALUE_FAM_60_Question (2),ASSIGNED_KEY_FAM_60_Question (2),TIMING_FAM_60_Question (2),VALUE_FAM_62_Question (2),ASSIGNED_KEY_FAM_62_Question (2),TIMING_FAM_62_Question (2),VALUE_FAM_61_Question (2),ASSIGNED_KEY_FAM_61_Question (2),TIMING_FAM_61_Question (2),VALUE_FAM_63_Question (2),ASSIGNED_KEY_FAM_63_Question (2),TIMING_FAM_63_Question (2),VALUE_FAM_65_Question (2),ASSIGNED_KEY_FAM_65_Question (2),TIMING_FAM_65_Question (2),VALUE_FAM_64_Question (2),ASSIGNED_KEY_FAM_64_Question (2),TIMING_FAM_64_Question (2),VALUE_FAM_66_Question (2),ASSIGNED_KEY_FAM_66_Question (2),TIMING_FAM_66_Question (2),VALUE_FAM_67_Question (2),ASSIGNED_KEY_FAM_67_Question (2),TIMING_FAM_67_Question (2),VALUE_FAM_68_Question (2),ASSIGNED_KEY_FAM_68_Question (2),TIMING_FAM_68_Question (2),VALUE_FAM_69_Question (2),ASSIGNED_KEY_FAM_69_Question (2),TIMING_FAM_69_Question (2),VALUE_FAM_70_Question (2),ASSIGNED_KEY_FAM_70_Question (2),TIMING_FAM_70_Question (2),VALUE_FAM_71_Question (2),ASSIGNED_KEY_FAM_71_Question (2),TIMING_FAM_71_Question (2)
Nandos_Menu_Task5,86,Resp_090,FEMALE,42,Default,0,Left,5977.6775,0,Left,1097.0684,0,Left,2603.041,1,Right,5041.5023,0,Left,6027.8882,0,Left,5222.3833,0,Left,1551.8513,0,Left,4663.04,0,Left,1972.7241,0,Left,1684.6294,1,Right,4870.5883,1,Right,7463.3578,0,Left,2293.8709,0,Left,6984.9596,1,Right,3481.6299,0,Left,2265.6372,0,Left,1952.582,1,Right,3847.7878,0,Left,4250.694,0,Left,1725.2237,1,Right,4590.6862,0,Left,2322.6334,1,Right,4631.436,0,Left,7486.4424,0,Left,3071.6139,0,Left,1968.5987,0,Left,2803.6508,0,Left,1510.6201,0,Left,4097.8644,1,Right,3943.9219,0,Left,1692.0053,1,Right,7971.5125,0,Left,3592.0023,0,Left,2280.9026,0,Left,3582.5441,1,Right,3136.6169,1,Right,2515.2781,1,Right,14663.8118,0,Left,1108.027,1,Right,3269.2656,0,Left,2384.6246,0,Left,8919.1327,1,Right,3615.211,0,Left,8744.2286,1,Right,1674.8482,0,Left,2154.2432,1,Right,2765.0312,1,Right,5058.8069,0,Left,6887.1707,1,Right,4358.6985,1,Right,5352.9009,0,Left,1761.6416,0,Left,2013.9476,1,Right,4357.5727,0,Left,2588.7935,1,Right,3198.3417,0,Left,5312.0191,1,Right,2860.1968,0,Left,2660.1689,0,Left,2589.4495,1,Right,3186.4824,0,Left,1963.7507,1,Right,3310.5947,0,Left,5333.5086,1,Right,5284.5611,0,Left,3713.791,1,Right,5098.7173,1,Right,4887.6386,0,Left,1772.7633,1,Right,3422.7404,0,Left,1783.7915
Nandos_Menu_Task5,90,Resp_030,FEMALE,45,Default,0,Left,1664.8615,0,Left,1560.8279,0,Left,1997.272,1,Right,4117.7332,0,Left,3890.3313,0,Left,1256.6415,0,Left,1941.3241,0,Left,1415.2175,1,Right,1322.4644,0,Left,1728.5536,0,Left,1071.1367,0,Left,10605.5538,1,Right,2721.6385,1,Right,2799.8873,1,Right,2065.4786,0,Left,2000.8512,0,Left,4732.0788,1,Right,2408.616,1,Right,2712.7496,0,Left,1254.2072,1,Right,2514.1426,0,Left,1649.114,0,Left,1921.8631,0,Left,3017.9166,0,Left,1238.6892,0,Left,3458.8117,0,Left,3127.331,0,Left,1143.2141,0,Left,1608.7003,1,Right,1813.4779,0,Left,2342.6604,0,Left,1482.797,0,Left,3118.1527,0,Left,1986.1273,0,Left,2348.7208,0,Left,1371.3894,1,Right,4139.9588,0,Left,4207.837,0,Left,805.8468,1,Right,3837.2097,0,Left,8714.8883,0,Left,2289.8791,0,Left,3990.7327,0,Left,1919.4617,1,Right,4160.0174,0,Left,1794.025,0,Left,1785.5127,1,Right,2934.324,0,Left,3493.968,1,Right,1378.3035,1,Right,3362.6459,0,Left,1259.6165,0,Left,1556.3055,1,Right,2223.0831,0,Left,2382.6545,0,Left,1471.0689,0,Left,7692.2773,1,Right,1930.4309,0,Left,1394.292,0,Left,1294.7491,0,Left,3156.0572,0,Left,1188.2056,0,Left,2441.9596,0,Left,2100.22,1,Right,1919.5002,0,Left,3261.6037,1,Right,2194.2648,1,Right,2092.6931,0,Left,2946.9151,0,Left,2487.7882,0,Left,2284.8913
Nandos_Menu_Task5,84,Resp_088,FEMALE,47,Default,0,Left,1462.0357,0,Left,1732.3536,0,Left,2482.4611,0,Left,3271.5352,0,Left,2316.4652,0,Left,1781.7722,0,Left,1918.9331,0,Left,2005.2682,0,Left,2263.1725,0,Left,4105.6032,1,Right,1783.249,1,Right,2599.0512,1,Right,1341.415,1,Right,3221.3286,1,Right,2976.4754,0,Left,2081.451,0,Left,1514.952,1,Right,2433.8554,1,Right,1548.937,0,Left,3258.9007,1,Right,2545.4585,0,Left,1203.7828,1,Right,3372.6505,0,Left,2389.6117,0,Left,2014.6148,0,Left,2038.5211,0,Left,2424.2625,0,Left,1030.5332,0,Left,2561.4754,0,Left,4631.2932,0,Left,2451.5471,1,Right,2507.4801,0,Left,1407.2388,0,Left,1995.0522,1,Right,4701.0897,1,Right,1850.3682,0,Left,1896.4628,0,Left,2945.1283,0,Left,1130.9765,0,Left,2445.6721,1,Right,1632.6371,1,Right,5142.9163,0,Left,3135.8056,0,Left,4070.2282,1,Right,2767.4783,0,Left,1828.1137,0,Left,2596.5491,1,Right,2311.819,0,Left,2421.7175,0,Left,226.3947,0,Left,3486.6434,0,Left,3293.3082,1,Right,2304.8397,1,Right,3002.8009,1,Right,4089.9157,0,Left,2329.7727,1,Right,2533.5145,1,Right,2688.4524,0,Left,2152.8274,0,Left,1405.2428,1,Right,1754.3111,0,Left,2534.2263,1,Right,3650.2357,0,Left,3273.6658,1,Right,1859.2212,0,Left,1511.9578,1,Right,3558.7316,1,Right,1700.8524,1,Right,2764.1877,0,Left,2322.7904,0,Left,3038.8756
Nandos_Menu_Task5,82,Resp_022,FEMALE,44,Default,0,Left,894.6091,0,Left,1575.5232,0,Left,1249.6598,1,Right,5265.4045,1,Right,5097.5427,0,Left,1609.8497,0,Left,3021.9934,0,Left,1484.0334,0,Left,1318.2246,0,Left,1048.9623,1,Right,2918.9612,0,Left,4345.9333,1,Right,3108.8952,1,Right,482.7114,0,Left,2309.3238,0,Left,2347.219,0,Left,1823.2816,1,Right,2729.2369,1,Right,4450.8479,0,Left,2590.4436,1,Right,3378.0497,0,Left,2174.133,1,Right,4164.8803,0,Left,3728.2646,0,Left,1382.3054,0,Left,2614.2826,0,Left,2622.8609,0,Left,2191.1116,0,Left,2060.4451,1,Right,2491.3419,0,Left,1122.9973,0,Left,2031.4815,0,Left,3487.6585,0,Left,1833.1418,0,Left,2529.7442,0,Left,1529.8167,0,Left,1842.0751,0,Left,6079.75,0,Left,871.6717,1,Right,4703.7742,0,Left,3457.7429,1,Right,3334.6189,0,Left,2248.4492,0,Left,2770.6092,1,Right,2917.2967,0,Left,1884.7234,0,Left,1646.4559,0,Left,1450.124,0,Left,1702.4497,0,Left,6820.227,1,Right,4436.9529,0,Left,4063.0661,0,Left,3198.053,1,Right,3245.9706,0,Left,2859.1997,0,Left,2639.036,0,Left,9644.5619,0,Left,3364.3594,0,Left,1355.483,0,Left,2365.5449,1,Right,9848.6769,0,Left,4076.2902,1,Right,4149.5363,1,Right,2717.2897,1,Right,2256.2433,0,Left,1703.447,1,Right,2679.4341,0,Left,971.4026,0,Left,3451.2185,0,Left,1553.0454,0,Left,2989.1648
Nandos_Menu_Task5,75,Resp_019,FEMALE,40,Default,0,Left,1045.9022,0,Left,1097.9411,0,Left,1425.4408,0,Left,1887.2071,0,Left,2036.5569,0,Left,2817.3395,0,Left,1527.3747,0,Left,1898.4747,0,Left,3912.9185,0,Left,1165.8864,0,Left,4777.6116,0,Left,2565.3284,0,Left,1877.7859,1,Right,7315.4465,0,Left,1839.1146,0,Left,1718.6432,0,Left,2343.1068,0,Left,2745.6127,0,Left,1828.8114,0,Left,1357.3731,1,Right,5588.1867,0,Left,1478.8481,0,Left,3477.7033,0,Left,1118.4661,0,Left,1207.7592,0,Left,1521.93,0,Left,1916.1219,0,Left,934.7229,0,Left,2084.1201,0,Left,1484.0241,0,Left,3908.2359,0,Left,2127.3144,0,Left,2287.665,0,Left,1164.7933,0,Left,2555.0089,0,Left,1855.0416,0,Left,1273.8434,0,Left,4451.7892,0,Left,1229.6076,0,Left,2042.0131,0,Left,4102.0352,0,Left,2179.5111,0,Left,3746.6803,0,Left,1820.4067,1,Right,4899.0412,0,Left,1540.1941,1,Right,2622.9876,0,Left,1641.851,0,Left,4702.9458,1,Right,8005.6885,1,Right,9749.0789,0,Left,1073.6127,0,Left,1783.5939,0,Left,2849.9708,0,Left,2182.1684,0,Left,4118.9319,0,Left,2956.0266,0,Left,8672.7957,0,Left,1055.1784,0,Left,960.1224,0,Left,4826.8284,0,Left,2033.0766,1,Right,3582.9533,0,Left,5815.277,0,Left,3041.3176,0,Left,2629.9825,0,Left,3162.6804,0,Left,2299.6491,0,Left,1259.8826,0,Left,1575.5687,0,Left,1953.1112
Nandos_Menu_Task5,73,Resp_009,MALE,33,Default,0,Left,2956.0991,0,Left,725.0632,0,Left,1351.9959,0,Left,1550.8536,1,Right,2474.9616,0,Left,1809.1645,0,Left,1627.6652,0,Left,4047.8349,0,Left,1352.3853,0,Left,1456.519,1,Right,1501.4554,1,Right,2890.2791,1,Right,2262.946,1,Right,1985.7028,0,Left,1142.9442,0,Left,2831.0046,0,Left,858.6987,1,Right,2181.1719,0,Left,2141.6261,0,Left,981.9387,1,Right,2233.0832,0,Left,1522.9201,0,Left,2123.2169,0,Left,2494.8131,0,Left,1251.6555,0,Left,2862.6779,1,Right,2247.613,0,Left,741.0285,0,Left,1407.2386,1,Right,1962.2448,0,Left,1139.457,0,Left,1085.0989,0,Left,1664.4722,0,Left,1352.3859,1,Right,2047.4189,0,Left,837.7601,1,Right,2183.1658,0,Left,2976.0456,0,Left,590.4221,0,Left,2940.6551,1,Right,3634.7055,1,Right,1855.0428,0,Left,4064.4277,0,Left,3933.5887,0,Left,2448.4554,0,Left,1237.692,0,Left,1735.6767,0,Left,1770.2708,0,Left,1617.6752,1,Right,3570.1298,1,Right,2778.5592,0,Left,1255.1158,1,Right,1740.2212,1,Right,3259.2952,0,Left,2079.4429,0,Left,1530.907,1,Right,4276.4379,1,Right,3079.9459,0,Left,698.134,0,Left,1112.0719,1,Right,1136.9765,0,Left,1074.1549,1,Right,2286.5587,0,Left,4258.488,1,Right,2172.1938,0,Left,2015.1776,0,Left,1957.7671,1,Right,1428.1851,1,Right,1246.6676,0,Left,1855.1853,0,Left,2193.1402
Nandos_Menu_Task5,71,Resp_089,FEMALE,40,Default,0,Left,691.1505,0,Left,995.3483,0,Left,1643.3036,1,Right,4222.3642,0,Left,1367.3447,0,Left,1826.0466,0,Left,1876.4637,0,Left,2248.8059,0,Left,2272.4214,0,Left,1136.7491,1,Right,2810.9639,0,Left,2325.3865,0,Left,1707.7679,0,Left,1517.9406,0,Left,2204.8406,0,Left,1226.6168,0,Left,1720.4017,1,Right,3056.333,1,Right,1565.7826,0,Left,1723.3948,1,Right,1665.1423,0,Left,3011.6462,1,Right,2333.6991,0,Left,1372.3319,0,Left,1610.3473,0,Left,2423.0091,1,Right,3401.1117,0,Left,1320.4707,1,Right,2611.0475,1,Right,2189.7943,0,Left,1109.8302,0,Left,1238.6869,0,Left,1189.819,0,Left,1514.6623,1,Right,1923.8571,1,Right,2532.9677,1,Right,2730.699,0,Left,5442.4532,0,Left,1571.8735,0,Left,3154.4897,1,Right,2132.8683,1,Right,4251.1228,1,Right,1717.2886,0,Left,2794.3698,1,Right,2357.0147,1,Right,3926.9657,1,Right,1922.6161,0,Left,3504.6324,1,Right,2774.6896,1,Right,3871.0647,0,Left,5736.0169,0,Left,1479.0464,1,Right,2284.9286,1,Right,3795.4441,0,Left,4770.1892,0,Left,2255.8575,1,Right,2356.5774,1,Right,1295.8127,0,Left,1466.9062,0,Left,1222.3194,1,Right,2335.7573,0,Left,2806.4952,1,Right,2543.6926,0,Left,2046.5532,1,Right,6970.8981,1,Right,3247.6596,1,Right,3722.1403,1,Right,1692.0532,1,Right,2798.262,0,Left,2658.3823,0,Left,2213.5312
Nandos_Menu_Task5,88,Resp_087,FEMALE,32,Default,0,Left,662.2301,0,Left,1096.4304,0,Left,1522.1131,0,Left,1121.9997,1,Right,1421.191,0,Left,999.6118,0,Left,66.8298,0,Left,2122.3271,0,Left,479.7176,0,Left,719.0789,1,Right,1308.7305,1,Right,2689.8106,0,Left,1417.2132,1,Right,2551.1816,1,Right,1121.9976,0,Left,1097.0683,0,Left,729.0504,0,Left,1918.5558,1,Right,1530.4439,0,Left,1356.0632,1,Right,913.5587,0,Left,948.4654,0,Left,1855.0422,1,Right,1198.797,0,Left,1705.592,0,Left,1496.5424,1,Right,2277.8657,0,Left,1147.4402,0,Left,820.8186,0,Left,1402.2526,0,Left,996.0461,0,Left,1707.633,0,Left,1818.14,0,Left,621.9094,0,Left,1992.6758,0,Left,1363.3565,0,Left,1128.2088,0,Left,123.6702,0,Left,664.2243,1,Right,2256.9678,0,Left,2596.0605,0,Left,2228.0462,0,Left,844.7107,0,Left,1922.8626,0,Left,782.9081,1,Right,1462.0915,1,Right,881.6438,0,Left,1505.9737,0,Left,2953.1067,0,Left,1762.4441,1,Right,2026.1806,0,Left,1306.5082,0,Left,1970.1625,1,Right,1613.7434,0,Left,1769.9373,0,Left,748.9986,1,Right,3858.6759,1,Right,1485.6121,0,Left,1452.1197,0,Left,451.7928,1,Right,2084.3812,0,Left,1695.4668,0,Left,1492.5649,0,Left,1293.3567,0,Left,2188.1513,0,Left,3628.303,1,Right,1394.5561,1,Right,1352.3798,0,Left,1286.6723,1,Right,1503.1501,0,Left,1530.4483
Nandos_Menu_Task5,79,Resp_055,FEMALE,35,Default,0,Left,1813.4846,0,Left,2540.2018,1,Right,3128.4145,1,Right,3083.7568,0,Left,3378.3505,0,Left,1985.6938,0,Left,1949.772,0,Left,1362.3581,1,Right,3248.3182,0,Left,1212.7584,1,Right,2547.765,1,Right,3161.0697,1,Right,4092.2826,1,Right,2790.5414,0,Left,3277.2398,0,Left,1433.168,0,Left,1790.7109,1,Right,2385.7989,1,Right,2135.2864,0,Left,2292.6165,1,Right,1625.6544,0,Left,1848.0587,1,Right,2830.6936,0,Left,1884.1157,0,Left,2572.4541,0,Left,2682.3041,0,Left,1845.0473,0,Left,1109.0358,0,Left,2514.2795,1,Right,3080.3566,0,Left,1510.9614,0,Left,2057.8397,0,Left,3444.7916,0,Left,5280.4022,0,Left,2144.2105,0,Left,1666.5451,0,Left,2003.6445,1,Right,2972.7475,0,Left,1659.1663,0,Left,2606.8509,1,Right,6106.0693,0,Left,1802.1827,1,Right,4055.6363,0,Left,3203.4369,1,Right,2061.4909,0,Left,1715.4145,0,Left,3670.1995,1,Right,3259.7393,0,Left,2479.1131,1,Right,1875.2639,1,Right,2948.2423,0,Left,1263.6228,1,Right,2329.8759,1,Right,2295.865,1,Right,5396.655,0,Left,4249.9089,0,Left,4083.4078,1,Right,4219.6217,0,Left,1830.1067,0,Left,1492.0134,1,Right,1739.3499,0,Left,2016.6101,1,Right,2319.799,0,Left,3575.2405,1,Right,2002.6483,1,Right,3174.0106,0,Left,1868.0311,0,Left,2609.5065,0,Left,2075.7501,1,Right,4455.0534,0,Left,1689.7678
Nandos_Menu_Task5,77,Resp_029,MALE,21,Default,0,Left,1710.4922,0,Left,2302.5904,0,Left,2599.7654,1,Right,819.8085,1,Right,4784.3626,0,Left,1275.4175,0,Left,4507.8159,0,Left,1048.1996,0,Left,2375.1485,1,Right,4340.3979,1,Right,1072.6803,0,Left,1440.1517,0,Left,2159.6409,0,Left,1706.4388,0,Left,2105.1531,1,Right,1859.8105,1,Right,1015.9352,1,Right,1053.1833,0,Left,1406.2419,0,Left,2941.0057,1,Right,2005.6387,1,Right,5876.7731,1,Right,1046.2001,0,Left,2933.159,1,Right,3093.7305,0,Left,1235.8287,1,Right,2249.491,1,Right,3536.4289,0,Left,5327.7595,0,Left,2123.5364,0,Left,5614.4587,0,Left,2873.4358,1,Right,3196.7367,1,Right,1251.5316,1,Right,3263.6554,1,Right,441.8177,1,Right,1046.2035,1,Right,1404.2442,0,Left,1860.0252,1,Right,3764.9359,1,Right,3048.6381,1,Right,2684.9463,0,Left,4466.333,0,Left,1745.5617,1,Right,1143.3052,0,Left,2296.3228,1,Right,1392.0915,1,Right,1968.483,0,Left,1913.8842,1,Right,2443.7777,0,Left,2208.398,0,Left,1933.8318,0,Left,134.6404,1,Right,3322.1224,0,Left,1834.1764,0,Left,5939.1389,0,Left,3294.1577,1,Right,1072.6889,0,Left,1861.1209,0,Left,1164.8882,1,Right,2648.7712,0,Left,1579.9482,1,Right,1906.1358,1,Right,793.877,1,Right,2535.5187,0,Left,1475.9517,1,Right,1429.2161,1,Right,1065.1538,0,Left,553.5231,1,Right,8166.6106,0,Left,1300.0204
