#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide8 NewF1","225291","61942","","","61942","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide13 NewF2","315397","24797","","","24797","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide22 Item1","555285","68945","","","68945","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide24 Item2","625256","12923","","","12923","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide26 Item3","639205","9209","","","9209","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide28 Item4","649443","13975","","","13975","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide30 Item5","664446","15589","","","15589","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide66 Stim11","722037","11989","","","11989","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide69 Stim12","735546","5998","","","5998","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide54 Stim7","743072","11999","","","11999","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide39 Stim2","756582","11989","","","11989","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide60 Stim9","770104","12001","","","12001","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide51 Stim6","783704","5991","","","5991","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide36 Stim1","791219","2991","","","2991","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide48 Stim5","795734","11996","","","11996","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide63 Stim10","809237","11989","","","11989","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide42 Stim3","822760","6000","","","6000","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide45 Stim4","830283","5991","","","5991","0","0","0",NA
"Nandos_Menu_NewFunctional_Subset2","Resp_031","FEMALE","48","Default","Stimulus","Slide57 Stim8","837784","5993","","","5993","0","0","0",NA
