Study Name	Nandos_Menu_NewFunctional_Subset2
Number of Respondents	2

Matrix contains the following questions:	

Survey Slide Name 	 Question-Id 	 Question Type 	 Property 	 Number of Respondents 	 Column Number 	 Respondent Matrix Column Name 	 Label-info 	
IAT_Prac4	Question (2)	Keyboard Response	 	2	6 to 8	IAT_Prac4_Question (2)	
IAT_Prac1	Question (2)	Keyboard Response	 	2	9 to 11	IAT_Prac1_Question (2)	
OG01	Question (2)	Keyboard Response	 	2	12 to 14	OG01_Question (2)	
IAT_Prac3	Question (2)	Keyboard Response	 	2	15 to 17	IAT_Prac3_Question (2)	
IAT_Prac2	Question (2)	Keyboard Response	 	2	18 to 20	IAT_Prac2_Question (2)	
LB04	Question (2)	Keyboard Response	 	2	21 to 23	LB04_Question (2)	
LB01	Question (2)	Keyboard Response	 	2	24 to 26	LB01_Question (2)	
LB02	Question (2)	Keyboard Response	 	2	27 to 29	LB02_Question (2)	
LB06	Question (2)	Keyboard Response	 	2	30 to 32	LB06_Question (2)	
LB03	Question (2)	Keyboard Response	 	2	33 to 35	LB03_Question (2)	
LB05	Question (2)	Keyboard Response	 	2	36 to 38	LB05_Question (2)	
LB07	Question (2)	Keyboard Response	 	2	39 to 41	LB07_Question (2)	
LB08	Question (2)	Keyboard Response	 	2	42 to 44	LB08_Question (2)	
LB09	Question (2)	Keyboard Response	 	2	45 to 47	LB09_Question (2)	
LB10	Question (2)	Keyboard Response	 	2	48 to 50	LB10_Question (2)	
LB11	Question (2)	Keyboard Response	 	2	51 to 53	LB11_Question (2)	
LB12	Question (2)	Keyboard Response	 	2	54 to 56	LB12_Question (2)	
OG02	Question (2)	Keyboard Response	 	2	57 to 59	OG02_Question (2)	
OG03	Question (2)	Keyboard Response	 	2	60 to 62	OG03_Question (2)	
OG12	Question (2)	Keyboard Response	 	2	63 to 65	OG12_Question (2)	
OG04	Question (2)	Keyboard Response	 	2	66 to 68	OG04_Question (2)	
OG07	Question (2)	Keyboard Response	 	2	69 to 71	OG07_Question (2)	
OG05	Question (2)	Keyboard Response	 	2	72 to 74	OG05_Question (2)	
OG06	Question (2)	Keyboard Response	 	2	75 to 77	OG06_Question (2)	
OG08	Question (2)	Keyboard Response	 	2	78 to 80	OG08_Question (2)	
OG09	Question (2)	Keyboard Response	 	2	81 to 83	OG09_Question (2)	
OG10	Question (2)	Keyboard Response	 	2	84 to 86	OG10_Question (2)	
OG11	Question (2)	Keyboard Response	 	2	87 to 89	OG11_Question (2)	
HH01	Question (2)	Keyboard Response	 	2	90 to 92	HH01_Question (2)	
HH03	Question (2)	Keyboard Response	 	2	93 to 95	HH03_Question (2)	
