,Unnamed: 0,respondent,resp_id_old,subset,subset_old,survey_immediate_start,sns_filename_x,sns_findSpecific_Item1_RT,sns_findSpecific_Item1_AOISelected,sns_findSpecific_Item1_AOIAccuracy,sns_findSpecific_Item1_FixationCount,sns_findSpecific_Item2_RT,sns_findSpecific_Item2_AOISelected,sns_findSpecific_Item2_AOIAccuracy,sns_findSpecific_Item2_FixationCount,sns_findSpecific_Item3_RT,sns_findSpecific_Item3_AOISelected,sns_findSpecific_Item3_AOIAccuracy,sns_findSpecific_Item3_FixationCount,sns_findSpecific_Item4_RT,sns_findSpecific_Item4_AOISelected,sns_findSpecific_Item4_AOIAccuracy,sns_findSpecific_Item4_FixationCount,sns_findSpecific_Item5_RT,sns_findSpecific_Item5_AOISelected,sns_findSpecific_Item5_AOIAccuracy,sns_findSpecific_Item5_FixationCount,sns_findSpecific_Item1_subjUndiscovered,sns_findSpecific_Item2_subjUndiscovered,sns_findSpecific_Item3_subjUndiscovered,sns_findSpecific_Item4_subjUndiscovered,sns_findSpecific_Item5_subjUndiscovered,sns_findAnything_BackPage_RT,sns_findAnything_BackPage_AOISelected,sns_findAnything_BackPage_AOIAccuracy,sns_findAnything_BackPage_FixationCount,sns_findAnything_FrontPage_RT,sns_findAnything_FrontPage_AOISelected,sns_findAnything_FrontPage_AOIAccuracy,sns_findAnything_FrontPage_FixationCount,iam_findSpecific_Item1_ClickAccurate,iam_findSpecific_Item2_ClickAccurate,iam_findSpecific_Item3_ClickAccurate,iam_findSpecific_Item4_ClickAccurate,iam_findSpecific_Item5_ClickAccurate,iam_findAnything_FrontPage_Undiscovered_TTFF,iam_findAnything_FrontPage_Undiscovered_TFD,iam_findAnything_FrontPage_Undiscovered_FixationCount,iam_findAnything_BackPage_Undiscovered_TTFF,iam_findAnything_BackPage_Undiscovered_TFD,iam_findAnything_BackPage_Undiscovered_FixationCount,iam_findAnything_FrontPage_SubjUndiscovered_TTFF,iam_findAnything_FrontPage_SubjUndiscovered_TFD,iam_findAnything_FrontPage_SubjUndiscovered_FixationCount,iam_findAnything_BackPage_SubjUndiscovered_TTFF,iam_findAnything_BackPage_SubjUndiscovered_TFD,iam_findAnything_BackPage_SubjUndiscovered_FixationCount,iam_standard_Slide39 Stim2_HighGP_1/4 Chicken_TTFF,iam_standard_Slide39 Stim2_HighGP_1/4 Chicken_TFD,iam_standard_Slide39 Stim2_HighGP_Full Chicken_TTFF,iam_standard_Slide39 Stim2_HighGP_Full Chicken_TFD,iam_standard_Slide39 Stim2_HighGP_Bowls and Salads_TTFF,iam_standard_Slide39 Stim2_HighGP_Bowls and Salads_TFD,iam_standard_Slide39 Stim2_HighGP_Sides_TTFF,iam_standard_Slide39 Stim2_HighGP_Sides_TFD,iam_standard_Slide39 Stim2_HighGP_1/2 Chicken_TTFF,iam_standard_Slide39 Stim2_HighGP_1/2 Chicken_TFD,iam_standard_Slide39 Stim2_HighGP_Sosaties_TTFF,iam_standard_Slide39 Stim2_HighGP_Sosaties_TFD,iam_standard_Slide48 Stim5_HighGP_1/4 Chicken_TTFF,iam_standard_Slide48 Stim5_HighGP_1/4 Chicken_TFD,iam_standard_Slide48 Stim5_HighGP_Full Chicken_TTFF,iam_standard_Slide48 Stim5_HighGP_Full Chicken_TFD,iam_standard_Slide48 Stim5_HighGP_Bowls and Salads_TTFF,iam_standard_Slide48 Stim5_HighGP_Bowls and Salads_TFD,iam_standard_Slide48 Stim5_HighGP_Sides_TTFF,iam_standard_Slide48 Stim5_HighGP_Sides_TFD,iam_standard_Slide48 Stim5_HighGP_1/2 Chicken_TTFF,iam_standard_Slide48 Stim5_HighGP_1/2 Chicken_TFD,iam_standard_Slide48 Stim5_HighGP_Sosaties_TTFF,iam_standard_Slide48 Stim5_HighGP_Sosaties_TFD,iam_standard_Slide42 Stim3_HighGP_1/4 Chicken_TTFF,iam_standard_Slide42 Stim3_HighGP_1/4 Chicken_TFD,iam_standard_Slide42 Stim3_HighGP_Full Chicken_TTFF,iam_standard_Slide42 Stim3_HighGP_Full Chicken_TFD,iam_standard_Slide42 Stim3_HighGP_Bowls and Salads_TTFF,iam_standard_Slide42 Stim3_HighGP_Bowls and Salads_TFD,iam_standard_Slide42 Stim3_HighGP_Sides_TTFF,iam_standard_Slide42 Stim3_HighGP_Sides_TFD,iam_standard_Slide42 Stim3_HighGP_1/2 Chicken_TTFF,iam_standard_Slide42 Stim3_HighGP_1/2 Chicken_TFD,iam_standard_Slide42 Stim3_HighGP_Sosaties_TTFF,iam_standard_Slide42 Stim3_HighGP_Sosaties_TFD,iam_standard_Slide51 Stim6_HighGP_1/4 Chicken_TTFF,iam_standard_Slide51 Stim6_HighGP_1/4 Chicken_TFD,iam_standard_Slide51 Stim6_HighGP_Full Chicken_TTFF,iam_standard_Slide51 Stim6_HighGP_Full Chicken_TFD,iam_standard_Slide51 Stim6_HighGP_Bowls and Salads_TTFF,iam_standard_Slide51 Stim6_HighGP_Bowls and Salads_TFD,iam_standard_Slide51 Stim6_HighGP_Sides_TTFF,iam_standard_Slide51 Stim6_HighGP_Sides_TFD,iam_standard_Slide51 Stim6_HighGP_1/2 Chicken_TTFF,iam_standard_Slide51 Stim6_HighGP_1/2 Chicken_TFD,iam_standard_Slide51 Stim6_HighGP_Sosaties_TTFF,iam_standard_Slide51 Stim6_HighGP_Sosaties_TFD,iam_standard_Slide39 Stim2_NewGP_Garlic/Nandos Roll_TTFF,iam_standard_Slide39 Stim2_NewGP_Garlic/Nandos Roll_TFD,iam_standard_Slide39 Stim2_NewGP_Strips and Rice_TTFF,iam_standard_Slide39 Stim2_NewGP_Strips and Rice_TFD,iam_standard_Slide39 Stim2_NewGP_All-in-one bowl_TTFF,iam_standard_Slide39 Stim2_NewGP_All-in-one bowl_TFD,iam_standard_Slide39 Stim2_NewGP_Avo and Halloumi bowl_TTFF,iam_standard_Slide39 Stim2_NewGP_Avo and Halloumi bowl_TFD,iam_standard_Slide39 Stim2_NewGP_Strips Veg and Rice_TTFF,iam_standard_Slide39 Stim2_NewGP_Strips Veg and Rice_TFD,iam_standard_Slide48 Stim5_NewGP_Garlic/Nandos Roll_TTFF,iam_standard_Slide48 Stim5_NewGP_Garlic/Nandos Roll_TFD,iam_standard_Slide48 Stim5_NewGP_Strips and Rice_TTFF,iam_standard_Slide48 Stim5_NewGP_Strips and Rice_TFD,iam_standard_Slide48 Stim5_NewGP_All-in-one bowl_TTFF,iam_standard_Slide48 Stim5_NewGP_All-in-one bowl_TFD,iam_standard_Slide48 Stim5_NewGP_Avo and Halloumi bowl_TTFF,iam_standard_Slide48 Stim5_NewGP_Avo and Halloumi bowl_TFD,iam_standard_Slide48 Stim5_NewGP_Strips Veg and Rice_TTFF,iam_standard_Slide48 Stim5_NewGP_Strips Veg and Rice_TFD,iam_standard_Slide42 Stim3_NewGP_Garlic/Nandos Roll_TTFF,iam_standard_Slide42 Stim3_NewGP_Garlic/Nandos Roll_TFD,iam_standard_Slide42 Stim3_NewGP_Strips and Rice_TTFF,iam_standard_Slide42 Stim3_NewGP_Strips and Rice_TFD,iam_standard_Slide42 Stim3_NewGP_All-in-one bowl_TTFF,iam_standard_Slide42 Stim3_NewGP_All-in-one bowl_TFD,iam_standard_Slide42 Stim3_NewGP_Avo and Halloumi bowl_TTFF,iam_standard_Slide42 Stim3_NewGP_Avo and Halloumi bowl_TFD,iam_standard_Slide42 Stim3_NewGP_Strips Veg and Rice_TTFF,iam_standard_Slide42 Stim3_NewGP_Strips Veg and Rice_TFD,iam_standard_Slide51 Stim6_NewGP_Garlic/Nandos Roll_TTFF,iam_standard_Slide51 Stim6_NewGP_Garlic/Nandos Roll_TFD,iam_standard_Slide51 Stim6_NewGP_Strips and Rice_TTFF,iam_standard_Slide51 Stim6_NewGP_Strips and Rice_TFD,iam_standard_Slide51 Stim6_NewGP_All-in-one bowl_TTFF,iam_standard_Slide51 Stim6_NewGP_All-in-one bowl_TFD,iam_standard_Slide51 Stim6_NewGP_Avo and Halloumi bowl_TTFF,iam_standard_Slide51 Stim6_NewGP_Avo and Halloumi bowl_TFD,iam_standard_Slide51 Stim6_NewGP_Strips Veg and Rice_TTFF,iam_standard_Slide51 Stim6_NewGP_Strips Veg and Rice_TFD
0,0,1,5,1,Nandos_Menu_Current_Subset1_2,05/19/2025 1:13:53 PM,014_Resp_005.csv,5859.2224,Item_17,4.0,20.0,8255.2638,Item_17,4.0,23.0,59601.4521,Item_84,4,153.0,6246.9479,Item_10,4.0,19.0,8033.2094,Item_46,4.0,18.0,0.0,1.0,0.0,1.0,1.0,53286.635,Item_26,4,131,111714.612,Item_65,3,275,,,,,,1661.15,39005.3,10.0,335.13,44518.99,15.0,5458.44,29012.489999999998,4.0,23085.44,13499.23,3.0,,,,,,,,,,,,,,,,,4525.61,233.16,9738.52,632.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11537.23,116.57,4525.61,233.16,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,6,1,Nandos_Menu_Current_Subset1,05/19/2025 1:57:44 PM,003_Resp_006 (3).csv,28479.0846,Item_74,3.0,21.0,7262.4763,Item_03,4.0,16.0,32570.361,,3,16.0,5785.1189,Item_70,4.0,19.0,4191.6719,,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,36277.2713,Item_15,3,68,,,,,,8695.25,17504.01,11.0,20099.29,5595.93,9.0,9144.94,5496.0,3.0,20532.32,99.94,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,3,8,1,Nandos_Menu_Current_Subset1_2,05/19/2025 2:17:19 PM,013_Resp_008.csv,25746.1085,Item_73,4.0,67.0,67967.8263,Item_17,3.0,84.0,37120.655,Item_03,3,42.0,9134.4821,Item_10,4.0,14.0,5571.0546,Item_30,3.0,11.0,0.0,1.0,0.0,1.0,1.0,92199.5613,Visual_14,3,178,177663.5814,Item_78,4,407,,,,,,1501.26,73614.12999999999,15.0,0.0,49722.9,17.0,1501.26,30727.989999999998,5.0,241.29,11458.44,3.0,7101.5,416.37,5086.28,241.495,2538.4,932.365,,,6102.21,1015.94,8450.53,924.335,,,5901.77,499.64,,,,,7600.55,133.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538.4,915.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,4,10,1,Nandos_Menu_Current_Subset1,05/19/2025 2:58:44 PM,004_Resp_010 (3).csv,13067.8902,Item_73,4.0,27.0,,,,,61147.5715,Item_78,4,167.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,16925.2591,Item_98,4,37,18932.6159,Item_15,3,38,,,,,,7501.05,10825.59,4.0,1521.15,6529.24,3.0,,0.0,0.0,,0.0,0.0,,,2820.88,199.86,10332.14,266.47,,,,,,,2254.16,166.55,11031.17,349.75,,,,,2020.98,299.78999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,6235.1,266.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,5,39,2,Nandos_Menu_NewFunctional_Subset2_2,05/19/2025 3:10:27 PM,012_Resp_039.csv,46615.9442,Item_65,3.0,130.0,39214.8979,Item_69,4.0,116.0,20445.8101,,4,60.0,4274.9225,Item_10,4.0,8.0,41698.316,Item_46,3.0,109.0,1.0,1.0,0.0,1.0,1.0,18331.6336,Item_10,3,37,56360.7311,Heading_08,4,162,,,,,,2075.58,1898.6299999999999,7.0,,0.0,0.0,2075.58,882.6899999999999,5.0,,0.0,0.0,8145.79,416.37,,,3282.6,732.815,467.95,299.79,,,,,,,,,7796.38,333.1,6730.49,477.43,,,1584.18,149.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3282.6,1815.39,10210.98,349.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,6,7,1,Nandos_Menu_Current_Subset1,05/19/2025 4:07:46 PM,005_Resp_007 (3).csv,180124.0103,Item_17,4.0,259.0,89303.3248,Item_06,3.0,139.0,34447.7608,Item_51,4,44.0,15482.6329,Item_70,4.0,40.0,15024.7941,Item_30,4.0,26.0,0.0,1.0,0.0,1.0,0.0,200718.054,Item_109,3,342,164070.3832,Item_03,4,313,,,,,,2336.1,45733.8,16.0,1581.18,64486.91,17.0,2336.1,32426.68,9.0,113751.16,3930.49,1.0,,,,,8247.27,149.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8247.27,149.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,7,1,1,Nandos_Menu_Current_Subset1,05/19/2025 9:40:05 AM,001_Resp_001.csv,13950.7355,Item_16,3.0,,25601.3658,Item_17,3.0,,10768.3919,Item_60,3,,6972.9638,Item_10,3.0,,4008.7349,Item_30,2.0,,,,,,,35222.7065,Item_98,3,0,21956.3804,Item_86 dwelled on; Item_31 dwelled on; Item_86 dwelled on (1); Item_31 dwelled on (1),2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,8,2,1,Nandos_Menu_Current_Subset1,05/19/2025 9:44:06 AM,001_Resp_002 (3).csv,21159.1792,Item_03,4.0,61.0,18592.4763,Item_73,4.0,54.0,18139.757,Item_51,4,47.0,6998.6281,Item_70,4.0,16.0,6657.8013,Item_46,4.0,16.0,0.0,1.0,0.0,1.0,0.0,15553.3794,Item_92,4,31,51731.0985,Item_32,4,118,,,,,,5131.24,3963.83,4.0,331.46,582.9300000000001,2.0,5131.24,3031.17,2.0,,,,,,,,4951.52,183.2,,,,,,,,,,,2826.71,116.57,,,3209.76,466.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4951.52,183.2,,,,,,,4042.49,199.86,2826.71,116.57,,,,,,,,,,,,,,,,,,,,,,,,
8,8,9,3,1,Nandos_Menu_Current_Subset1,05/19/2025 10:19:02 AM,006_Resp_003 (3).csv,11641.2196,,4.0,27.0,33283.1843,Item_17,4.0,87.0,67675.9458,Item_07,3,184.0,10626.5649,Item_47,4.0,36.0,6617.7614,Item_46,3.0,20.0,,,,,,73189.9036,Heading_11,3,182,87440.9366,Item_87,4,240,,,,,,8819.52,23166.769999999997,14.0,15751.09,31127.620000000003,12.0,,,,,,,,,3971.61,1174.17,,,,,6186.69,449.67,,,,,4882.7,705.0566666666667,8729.92,2214.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8729.92,3197.04,10745.15,1231.78,,,,,,,,,,,,,,,,,,,,,,
9,9,10,32,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 10:48:53 AM,001_Resp_032.csv,14804.0,Item_09,4.0,41.0,5910.0,Item_17,4.0,18.0,3166.0,Item_61,4,5.0,3537.0,Item_47,4.0,9.0,4299.0,Item_46,4.0,12.0,,,,,,14781.0,Item_48,4,31,54743.0,Item_35,4,120,,,,,,1227.35,45217.47,14.0,3835.53,4280.23,2.0,,,,,,,,,,,,,,,,,,,,,,,,,8584.05,482.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,11,31,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 11:21:29 AM,002_Resp_031.csv,66228.0,Item_09,4.0,198.0,10095.0,Item_17,4.0,34.0,7852.0,Item_61,4,26.0,13297.0,Item_10,4.0,37.0,13762.0,Item_30,4.0,48.0,,,,,,22261.0,Item_88,4,53,35382.0,InfoHowtoNando's,3,103,,,,,,3330.23,11225.409999999998,8.0,6024.51,1632.15,2.0,,,,,,,11861.78,127.13,2002.22,174.875,7997.91,449.67499999999995,,,,,,,,,,,5719.57,811.9300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4941.88,499.66,3684.34,149.88,,,8197.75,333.09,7997.91,166.54,,,,,,,5719.57,666.19,7818.07,1282.43,,,,,,,,,,,,,,,,,,,,,,
