,Unnamed: 0,respondent,resp_id_old,subset,subset_old,survey_immediate_start,sns_filename,sns_findSpecific_Item1_RT,sns_findSpecific_Item1_AOISelected,sns_findSpecific_Item1_AOIAccuracy,sns_findSpecific_Item1_FixationCount,sns_findSpecific_Item2_RT,sns_findSpecific_Item2_AOISelected,sns_findSpecific_Item2_AOIAccuracy,sns_findSpecific_Item2_FixationCount,sns_findSpecific_Item3_RT,sns_findSpecific_Item3_AOISelected,sns_findSpecific_Item3_AOIAccuracy,sns_findSpecific_Item3_FixationCount,sns_findSpecific_Item4_RT,sns_findSpecific_Item4_AOISelected,sns_findSpecific_Item4_AOIAccuracy,sns_findSpecific_Item4_FixationCount,sns_findSpecific_Item5_RT,sns_findSpecific_Item5_AOISelected,sns_findSpecific_Item5_AOIAccuracy,sns_findSpecific_Item5_FixationCount,sns_findSpecific_Item1_subjUndiscovered,sns_findSpecific_Item2_subjUndiscovered,sns_findSpecific_Item3_subjUndiscovered,sns_findSpecific_Item4_subjUndiscovered,sns_findSpecific_Item5_subjUndiscovered,iam_findSpecific_Item1_ClickAccurate,iam_findSpecific_Item2_ClickAccurate,iam_findSpecific_Item3_ClickAccurate,iam_findSpecific_Item4_ClickAccurate,iam_findSpecific_Item5_ClickAccurate,iam_findAnything_FrontPage_Undiscovered_TTFF,iam_findAnything_FrontPage_Undiscovered_TFD,iam_findAnything_FrontPage_Undiscovered_FixationCount,iam_findAnything_BackPage_Undiscovered_TTFF,iam_findAnything_BackPage_Undiscovered_TFD,iam_findAnything_BackPage_Undiscovered_FixationCount,iam_findAnything_FrontPage_SubjUndiscovered_TTFF,iam_findAnything_FrontPage_SubjUndiscovered_TFD,iam_findAnything_FrontPage_SubjUndiscovered_FixationCount,iam_findAnything_BackPage_SubjUndiscovered_TTFF,iam_findAnything_BackPage_SubjUndiscovered_TFD,iam_findAnything_BackPage_SubjUndiscovered_FixationCount
0,0,1,5,1,Nandos_Menu_Current_Subset1_2,05/19/2025 1:13:53 PM,014_Resp_005.csv,5859.2224,Item_17,4.0,20.0,8255.2638,Item_17,4.0,23.0,59601.4521,Item_84,4,153.0,6246.9479,Item_10,4.0,19.0,8033.2094,Item_46,4.0,18.0,0.0,1.0,0.0,1.0,1.0,,,,,,1661.15,39005.3,10.0,335.13,44518.99,15.0,5458.44,29012.489999999998,4.0,23085.44,13499.23,3.0
1,1,2,6,1,Nandos_Menu_Current_Subset1,05/19/2025 1:57:44 PM,003_Resp_006 (3).csv,28479.0846,Item_74,3.0,21.0,7262.4763,Item_03,4.0,16.0,32570.361,,3,16.0,5785.1189,Item_70,4.0,19.0,4191.6719,,2.0,,0.0,0.0,0.0,1.0,0.0,,,,,,8695.25,17504.01,11.0,20099.29,5595.93,9.0,9144.94,5496.0,3.0,20532.32,99.94,1.0
2,2,3,8,1,Nandos_Menu_Current_Subset1_2,05/19/2025 2:17:19 PM,013_Resp_008.csv,25746.1085,Item_73,4.0,67.0,67967.8263,Item_17,3.0,84.0,37120.655,Item_03,3,42.0,9134.4821,Item_10,4.0,14.0,5571.0546,Item_30,3.0,11.0,0.0,1.0,0.0,1.0,1.0,,,,,,1501.26,73614.12999999999,15.0,0.0,49722.9,17.0,1501.26,30727.989999999998,5.0,241.29,11458.44,3.0
3,3,4,10,1,Nandos_Menu_Current_Subset1,05/19/2025 2:58:44 PM,004_Resp_010 (3).csv,13067.8902,Item_73,4.0,27.0,,,,,61147.5715,Item_78,4,167.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,7501.05,10825.59,4.0,1521.15,6529.24,3.0,,0.0,0.0,,0.0,0.0
4,4,5,39,2,Nandos_Menu_NewFunctional_Subset2_2,05/19/2025 3:10:27 PM,012_Resp_039.csv,46615.9442,Item_65,3.0,130.0,39214.8979,Item_69,4.0,116.0,20445.8101,,4,60.0,4274.9225,Item_10,4.0,8.0,41698.316,Item_46,3.0,109.0,1.0,1.0,0.0,1.0,1.0,,,,,,2075.58,1682.12,6.0,,0.0,0.0,2075.58,666.18,4.0,,0.0,0.0
5,5,6,7,1,Nandos_Menu_Current_Subset1,05/19/2025 4:07:46 PM,005_Resp_007 (3).csv,180124.0103,Item_17,4.0,259.0,89303.3248,Item_06,3.0,139.0,34447.7608,Item_51,4,44.0,15482.6329,Item_70,4.0,40.0,15024.7941,Item_30,4.0,26.0,0.0,1.0,0.0,1.0,0.0,,,,,,2336.1,45733.8,16.0,1581.18,64486.91,17.0,2336.1,32426.68,9.0,113751.16,3930.49,1.0
6,6,7,1,1,Nandos_Menu_Current_Subset1,05/19/2025 9:40:05 AM,001_Resp_001.csv,13950.7355,Item_16,3.0,,25601.3658,Item_17,3.0,,10768.3919,Item_60,3,,6972.9638,Item_10,3.0,,4008.7349,Item_30,2.0,,,,,,,,,,,,,,,,,,,,,,,
7,7,8,2,1,Nandos_Menu_Current_Subset1,05/19/2025 9:44:06 AM,001_Resp_002 (3).csv,21159.1792,Item_03,4.0,61.0,18592.4763,Item_73,4.0,54.0,18139.757,Item_51,4,47.0,6998.6281,Item_70,4.0,16.0,6657.8013,Item_46,4.0,16.0,0.0,1.0,0.0,1.0,0.0,,,,,,5131.24,3963.83,4.0,331.46,582.9300000000001,2.0,5131.24,3031.17,2.0,,,
8,8,9,3,1,Nandos_Menu_Current_Subset1,05/19/2025 10:19:02 AM,006_Resp_003 (3).csv,11641.2196,,4.0,27.0,33283.1843,Item_17,4.0,87.0,67675.9458,Item_07,3,184.0,10626.5649,Item_47,4.0,36.0,6617.7614,Item_46,3.0,20.0,,,,,,,,,,,8819.52,23166.769999999997,14.0,15751.09,31127.620000000003,12.0,,,,,,
9,9,10,32,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 10:48:53 AM,001_Resp_032.csv,14804.0,Item_09,4.0,41.0,5910.0,Item_17,4.0,18.0,3166.0,Item_61,4,5.0,3537.0,Item_47,4.0,9.0,4299.0,Item_46,4.0,12.0,,,,,,,,,,,1227.35,43651.93,13.0,3835.53,4280.23,2.0,,,,,,
10,10,11,31,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 11:21:29 AM,002_Resp_031.csv,66228.0,Item_09,4.0,198.0,10095.0,Item_17,4.0,34.0,7852.0,Item_61,4,26.0,13297.0,Item_10,4.0,37.0,13762.0,Item_30,4.0,48.0,,,,,,,,,,,3330.23,11225.409999999998,8.0,6024.51,1632.15,2.0,,,,,,
11,11,12,4,1,Nandos_Menu_Current_Subset1,05/19/2025 11:51:59 AM,002_Resp_004 (3).csv,64656.1395,Item_73,4.0,142.0,27331.9272,Item_17,4.0,73.0,95559.4052,Item_61,4,237.0,7161.7896,Item_10,4.0,18.0,19468.8714,Item_46,3.0,28.0,0.0,1.0,0.0,1.0,0.0,,,,,,5976.07,82424.16,17.0,297.22,47749.130000000005,16.0,5976.07,24049.410000000003,5.0,50527.76,1132.52,1.0
