,file,resp_id_old,subset_old,Slide13 Current2_RT,Slide13 Current2_AOISelected,Slide13 Current2_AOIAccuracy,Slide13 Current2_FixationCount,Slide22 Item1_RT,Slide22 Item1_AOISelected,Slide22 Item1_AOIAccuracy,Slide22 Item1_FixationCount,Slide24 Item2_RT,Slide24 Item2_AOISelected,Slide24 Item2_AOIAccuracy,Slide24 Item2_FixationCount,Slide26 Item3_RT,Slide26 Item3_AOISelected,Slide26 Item3_AOIAccuracy,Slide26 Item3_FixationCount,Slide28 Item4_RT,Slide28 Item4_AOISelected,Slide28 Item4_AOIAccuracy,Slide28 Item4_FixationCount,Slide30 Item5_RT,Slide30 Item5_AOISelected,Slide30 Item5_AOIAccuracy,Slide30 Item5_FixationCount,Slide8 Current1_RT,Slide8 Current1_AOISelected,Slide8 Current1_AOIAccuracy,Slide8 Current1_FixationCount,Slide13 NewF2_RT,Slide13 NewF2_AOISelected,Slide13 NewF2_AOIAccuracy,Slide13 NewF2_FixationCount,Slide8 NewF1_RT,Slide8 NewF1_AOISelected,Slide8 NewF1_AOIAccuracy,Slide8 NewF1_FixationCount,Slide13 NewU2_RT,Slide13 NewU2_AOISelected,Slide13 NewU2_AOIAccuracy,Slide13 NewU2_FixationCount,Slide8 NewU1_RT,Slide8 NewU1_AOISelected,Slide8 NewU1_AOIAccuracy,Slide8 NewU1_FixationCount
0,001_Resp_001.csv,1,Nandos_Menu_Current_Subset1,35222.7065,Item_98,3,,13950.7355,Item_16,3,,25601.3658,Item_17,3,,10768.3919,Item_60,3,,6972.9638,Item_10,3,,4008.7349,Item_30,2,,21956.3804,Item_86 dwelled on; Item_31 dwelled on; Item_86 dwelled on (1); Item_31 dwelled on (1),2,,,,,,,,,,,,,,,,,
1,001_Resp_002 (3).csv,2,Nandos_Menu_Current_Subset1,15553.3794,Item_92,4,31,21159.1792,Item_03,4,61,18592.4763,Item_73,4,54,18139.757,Item_51,4,47,6998.6281,Item_70,4,16,6657.8013,Item_46,4,16,51731.0985,Item_32,4,118,,,,,,,,,,,,,,,,
2,001_Resp_012.csv,12,Nandos_Menu_Current_Subset1_2 (1),50564.299,Item_102,3,77,5142.7997,Item_16,4,11,12796.815,Item_73,4,32,54949.7195,Item_42,3,98,5794.074,Item_10,3,16,2938.0503,Item_30,4,8,61399.9288,Heading_03,4,133,,,,,,,,,,,,,,,,
3,001_Resp_030.csv,30,Nandos_Menu_Current_Subset1_2,36220.9461,Item_70,4,73,4639.1478,Item_17,4,11,48634.9793,Heading_02,3,128,35167.3536,Item_23,3,82,4152.259,Item_70,4,13,2377.8544,Item_104,4,3,47650.7115,Item_55,4,136,,,,,,,,,,,,,,,,
4,001_Resp_032.csv,32,Nandos_Menu_NewFunctional_Subset2,,,,,14804,Item_09,4,41,5910,Item_17,4,18,3166,Item_61,4,5,3537,Item_47,4,9,4299,Item_46,4,12,,,,,14781,Item_48,4,31,54743,Item_35,4,120,,,,,,,,
5,001_Resp_036.csv,36,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,20238.451,Item_09,4,56,12310.81,Item_44,4,30,10670.6967,Item_83,3,26,6132.8724,Item_47,4,18,7980.9926,Item_46,3,22,,,,,75262.1877,Item_46,4,121,101432.1809,Item_28,4,220,,,,,,,,
6,001_Resp_055.csv,55,Nandos_Menu_NewFunctional_Subset2_2,,,,,43144.6432,Item_65,4,110,9409.4447,Item_17,3,28,7284.7228,Item_32,4,23,9949.9798,Item_10,4,29,5636.2945,Item_30,3,15,,,,,31816.932,Item_26,4,66,71313.1848,Item_42,4,176,,,,,,,,
7,001_Resp_062.csv,62,Nandos_Menu_NewUnique_Subset3_2 (1),,,,,27531.4895,Item_41,4,74,21933.5983,Item_17,4,59,12856.7248,Heading_33,4,31,11172.2974,Item_10,3,30,18162.6676,Item_46,4,43,,,,,,,,,,,,,28419.2256,Item_93,3,53,76002.1869,Item_61,4,200
8,001_Resp_090.csv,90,Nandos_Menu_NewUnique_Subset3_2,,,,,30995.0243,Item_41,4,99,16686.2631,Item_17,4,51,88900.4467,Item_23,4,237,6532.6772,Item_10,4,16,13380.9345,Item_30,4,38,,,,,,,,,,,,,30082.4977,Item_26,4,68,46235.9133,Item_17,3,115
9,002_Resp_004 (3).csv,4,Nandos_Menu_Current_Subset1,49324.9974,Item_109,3,106,64656.1395,Item_73,4,142,27331.9272,Item_17,4,73,95559.4052,Item_61,4,237,7161.7896,Item_10,4,18,19468.8714,Item_46,3,28,158919.3066,Item_06,4,296,,,,,,,,,,,,,,,,
