,Slide
0,Slide8 Current1
1,Slide13 Current2
2,Slide22 Item1
3,Slide24 Item2
4,Slide26 Item3
5,Slide28 Item4
6,Slide30 Item5
7,Slide57 Stim8
8,Slide69 Stim12
9,Slide66 Stim11
10,Slide42 Stim3
11,Slide45 Stim4
12,Slide54 Stim7
13,Slide36 Stim1
14,Slide63 Stim10
15,Slide51 Stim6
16,Slide60 Stim9
17,Slide39 Stim2
18,Slide48 Stim5
0,Slide8 Current1
1,Slide13 Current2
2,Slide22 Item1
3,Slide24 Item2
4,Slide26 Item3
5,Slide28 Item4
6,Slide30 Item5
7,Slide66 Stim11
8,Slide63 Stim10
9,Slide54 Stim7
10,Slide39 Stim2
11,Slide45 Stim4
12,Slide48 Stim5
13,Slide36 Stim1
14,Slide60 Stim9
15,Slide42 Stim3
16,Slide69 Stim12
17,Slide51 Stim6
18,Slide57 Stim8
0,Slide8 Current1
1,Slide13 Current2
2,Slide22 Item1
3,Slide24 Item2
4,Slide26 Item3
5,Slide28 Item4
6,Slide30 Item5
7,Slide63 Stim10
8,Slide66 Stim11
9,Slide54 Stim7
10,Slide39 Stim2
11,Slide51 Stim6
12,Slide60 Stim9
13,Slide42 Stim3
14,Slide45 Stim4
15,Slide69 Stim12
16,Slide48 Stim5
17,Slide36 Stim1
18,Slide57 Stim8
0,Slide8 Current1
1,Slide13 Current2
2,Slide22 Item1
3,Slide24 Item2
4,Slide26 Item3
5,Slide28 Item4
6,Slide30 Item5
7,Slide45 Stim4
8,Slide51 Stim6
9,Slide54 Stim7
10,Slide69 Stim12
11,Slide63 Stim10
12,Slide66 Stim11
13,Slide42 Stim3
14,Slide39 Stim2
15,Slide60 Stim9
16,Slide36 Stim1
17,Slide57 Stim8
18,Slide48 Stim5
0,Slide8 NewF1
1,Slide13 NewF2
2,Slide22 Item1
3,Slide24 Item2
4,Slide26 Item3
5,Slide28 Item4
6,Slide30 Item5
7,Slide63 Stim10
8,Slide54 Stim7
9,Slide39 Stim2
10,Slide42 Stim3
11,Slide57 Stim8
12,Slide51 Stim6
13,Slide36 Stim1
14,Slide69 Stim12
15,Slide66 Stim11
16,Slide60 Stim9
17,Slide45 Stim4
18,Slide48 Stim5
0,Slide8 NewF1
1,Slide13 NewF2
2,Slide22 Item1
3,Slide24 Item2
4,Slide26 Item3
5,Slide28 Item4
6,Slide30 Item5
7,Slide45 Stim4
8,Slide36 Stim1
9,Slide42 Stim3
10,Slide54 Stim7
11,Slide60 Stim9
12,Slide66 Stim11
13,Slide39 Stim2
14,Slide57 Stim8
15,Slide63 Stim10
